lap,time,pace,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight
1.0,39.8,199.0,39.0,120.0,144.0,180.0,167.0,39.5,60.5,1.39,9.4,12.1,4.0,212.0,183.0,195.0,168.0,59.0
2.0,44.9,224.0,84.0,153.0,157.0,178.0,173.0,41.6,58.4,1.5,8.9,5.7,8.0,218.0,179.0,224.0,168.0,59.0
3.0,44.5,223.0,129.0,158.0,163.0,180.0,169.0,42.0,58.0,1.45,8.9,5.9,8.0,224.0,181.0,220.0,168.0,59.0
4.0,45.4,227.0,174.0,158.0,163.0,179.0,170.0,42.4,57.6,1.44,9.0,6.0,10.0,195.0,181.0,227.0,168.0,59.0
5.0,42.7,213.0,217.0,159.0,162.0,180.0,167.0,43.2,56.8,1.55,8.9,5.5,9.0,211.0,183.0,210.0,168.0,59.0
6.0,44.2,221.0,261.0,161.0,164.0,181.0,166.0,43.0,57.0,1.52,8.7,5.5,10.0,211.0,183.0,220.0,168.0,59.0
7.0,42.5,212.0,303.0,164.0,167.0,181.0,165.0,43.2,56.8,1.55,8.8,5.4,10.0,203.0,183.0,212.0,168.0,59.0
8.0,44.2,221.0,348.0,163.0,166.0,181.0,166.0,43.0,57.0,1.52,8.8,5.5,10.0,209.0,182.0,220.0,168.0,59.0
9.0,44.3,221.0,392.0,162.0,164.0,181.0,177.0,45.6,54.4,1.45,9.0,6.0,9.0,211.0,185.0,220.0,168.0,59.0
10.0,41.2,206.0,433.0,164.0,166.0,185.0,162.0,40.1,59.9,1.54,8.7,5.5,10.0,181.0,186.0,206.0,168.0,59.0
11.0,41.5,207.0,475.0,167.0,169.0,186.0,159.0,39.7,60.3,1.57,8.5,5.2,8.0,199.0,189.0,205.0,168.0,59.0
12.0,41.1,205.0,516.0,169.0,172.0,182.0,164.0,44.4,55.6,1.64,9.2,5.2,9.0,201.0,188.0,205.0,168.0,59.0
13.0,42.8,214.0,558.0,170.0,174.0,184.0,166.0,44.3,55.7,1.55,8.5,5.2,9.0,198.0,186.0,214.0,168.0,59.0
14.0,38.9,194.0,597.0,162.0,169.0,185.0,160.0,43.1,56.9,1.62,8.1,4.8,9.0,199.0,188.0,194.0,168.0,59.0
15.0,38.6,193.0,636.0,164.0,167.0,186.0,160.0,44.0,56.0,1.72,8.8,4.8,8.0,184.0,191.0,190.0,168.0,59.0
1.0,39.2,196.0,39.0,103.0,128.0,105.0,171.0,40.0,60.0,1.18,7.0,5.6,3.0,173.0,188.0,180.0,168.0,59.0
2.0,41.6,208.0,80.0,137.0,145.0,86.0,193.0,47.5,52.5,1.61,9.8,5.5,9.0,195.0,199.0,208.0,168.0,59.0
3.0,38.7,194.0,119.0,151.0,157.0,167.0,179.0,49.1,50.9,1.79,11.6,6.2,9.0,198.0,186.0,194.0,168.0,59.0
4.0,41.0,205.0,160.0,157.0,160.0,169.0,177.0,38.6,61.4,1.72,11.1,5.9,10.0,196.0,186.0,205.0,168.0,59.0
5.0,39.7,199.0,200.0,163.0,168.0,173.0,178.0,41.5,58.5,1.77,11.4,6.1,9.0,198.0,186.0,199.0,168.0,59.0
6.0,41.5,207.0,241.0,171.0,175.0,178.0,178.0,49.4,50.6,1.65,10.5,6.0,10.0,207.0,190.0,205.0,168.0,59.0
7.0,37.5,187.0,279.0,165.0,170.0,169.0,179.0,47.9,52.1,1.74,11.0,5.7,9.0,199.0,186.0,185.0,168.0,59.0
8.0,38.9,195.0,318.0,164.0,169.0,172.0,175.0,34.8,65.2,1.74,10.3,5.6,10.0,194.0,183.0,195.0,168.0,59.0
9.0,38.9,194.0,357.0,169.0,172.0,166.0,177.0,44.9,55.1,1.84,10.2,5.5,9.0,197.0,188.0,194.0,168.0,59.0
10.0,40.2,201.0,397.0,173.0,175.0,179.0,180.0,40.5,59.5,1.66,9.0,5.3,10.0,180.0,188.0,201.0,168.0,59.0
11.0,40.2,201.0,437.0,176.0,179.0,178.0,179.0,41.4,58.6,1.69,9.8,5.4,10.0,187.0,188.0,200.0,168.0,59.0
