lap,time,pace,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight
1.0,47.9,239.0,47.0,132.0,150.0,157.0,191.0,50.0,50.0,1.17,7.6,14.0,7.0,222.0,189.0,220.0,178.0,63.0
2.0,48.0,240.0,95.0,158.0,163.0,183.0,202.0,49.6,50.4,1.45,8.6,5.7,12.0,221.0,185.0,240.0,178.0,63.0
3.0,49.4,247.0,145.0,166.0,170.0,181.0,200.0,49.7,50.3,1.38,8.7,6.1,11.0,225.0,183.0,247.0,178.0,63.0
4.0,53.2,266.0,198.0,175.0,178.0,177.0,210.0,50.0,50.0,1.34,9.0,6.5,13.0,249.0,179.0,265.0,178.0,63.0
5.0,55.0,275.0,253.0,176.0,177.0,176.0,219.0,49.8,50.2,1.26,9.0,6.9,11.0,264.0,177.0,275.0,178.0,63.0
6.0,57.2,286.0,310.0,171.0,176.0,175.0,227.0,49.8,50.2,1.23,9.2,7.2,13.0,278.0,176.0,285.0,178.0,63.0
7.0,57.6,288.0,368.0,179.0,183.0,173.0,237.0,49.8,50.2,1.22,9.4,7.4,13.0,289.0,174.0,288.0,178.0,63.0
8.0,58.1,290.0,426.0,181.0,183.0,174.0,231.0,50.0,50.0,1.22,9.2,7.3,12.0,289.0,175.0,290.0,178.0,63.0
9.0,58.5,292.0,484.0,186.0,189.0,173.0,237.0,49.9,50.1,1.21,9.3,7.5,13.0,290.0,175.0,290.0,178.0,63.0
10.0,58.7,294.0,543.0,191.0,194.0,174.0,234.0,49.8,50.2,1.21,9.3,7.4,12.0,287.0,175.0,294.0,178.0,63.0
11.0,59.9,299.0,603.0,184.0,189.0,173.0,238.0,50.0,50.0,1.19,9.5,7.8,14.0,286.0,175.0,300.0,178.0,63.0
12.0,59.8,299.0,663.0,191.0,195.0,172.0,240.0,50.0,50.0,1.18,9.4,7.8,12.0,286.0,175.0,299.0,178.0,63.0
13.0,63.2,316.0,726.0,188.0,189.0,171.0,248.0,50.0,50.0,1.14,9.7,8.3,14.0,299.0,175.0,315.0,178.0,63.0
14.0,63.0,315.0,790.0,190.0,192.0,172.0,246.0,49.9,50.1,1.15,9.6,8.2,14.0,294.0,175.0,315.0,178.0,63.0
15.0,59.4,297.0,849.0,188.0,190.0,171.0,238.0,50.0,50.0,1.18,9.8,8.1,13.0,296.0,173.0,295.0,178.0,63.0
1.0,52.1,260.0,52.0,123.0,137.0,167.0,226.0,50.4,49.6,1.24,9.2,6.6,9.0,247.0,182.0,245.0,178.0,63.0
2.0,50.2,251.0,102.0,145.0,154.0,179.0,221.0,49.7,50.3,1.36,9.2,6.6,10.0,246.0,181.0,250.0,178.0,63.0
3.0,52.1,261.0,154.0,157.0,160.0,176.0,221.0,49.8,50.2,1.33,9.5,6.9,13.0,251.0,177.0,260.0,178.0,63.0
4.0,55.2,276.0,209.0,155.0,160.0,174.0,233.0,49.1,50.9,1.26,9.6,7.4,11.0,258.0,176.0,276.0,178.0,63.0
5.0,53.7,268.0,263.0,153.0,155.0,175.0,224.0,49.8,50.2,1.28,9.5,7.2,13.0,268.0,176.0,265.0,178.0,63.0
6.0,55.0,275.0,318.0,153.0,156.0,172.0,239.0,49.3,50.7,1.25,9.8,7.6,11.0,273.0,174.0,275.0,178.0,63.0
7.0,56.8,284.0,375.0,153.0,157.0,172.0,241.0,49.4,50.6,1.25,9.6,7.5,13.0,276.0,174.0,284.0,178.0,63.0
8.0,56.2,281.0,431.0,150.0,152.0,172.0,241.0,49.3,50.7,1.2,9.8,7.9,12.0,286.0,174.0,280.0,178.0,63.0
