lap,time,pace,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight
1.0,44.4,222.0,44.0,119.0,139.0,175.0,182.0,49.3,50.7,1.51,9.6,6.3,6.0,203.0,186.0,220.0,171.0,55.0
2.0,44.8,224.0,89.0,149.0,157.0,179.0,185.0,49.5,50.5,1.49,9.8,6.3,8.0,217.0,182.0,224.0,171.0,55.0
3.0,46.5,233.0,135.0,158.0,161.0,179.0,189.0,49.8,50.2,1.46,9.9,6.5,10.0,226.0,181.0,232.0,171.0,55.0
4.0,49.2,246.0,185.0,158.0,161.0,176.0,191.0,50.0,50.0,1.4,10.3,7.1,9.0,233.0,178.0,245.0,171.0,55.0
5.0,46.0,230.0,231.0,159.0,164.0,179.0,189.0,49.9,50.1,1.44,10.0,6.7,9.0,237.0,180.0,230.0,171.0,55.0
6.0,46.5,232.0,277.0,161.0,164.0,178.0,188.0,50.1,49.9,1.43,9.8,6.6,9.0,237.0,181.0,230.0,171.0,55.0
7.0,45.7,228.0,323.0,162.0,164.0,179.0,193.0,49.6,50.4,1.47,9.6,6.3,11.0,230.0,181.0,228.0,171.0,55.0
8.0,46.0,230.0,369.0,164.0,166.0,178.0,192.0,49.9,50.1,1.46,9.9,6.5,10.0,230.0,180.0,230.0,171.0,55.0
9.0,46.6,233.0,415.0,170.0,177.0,179.0,193.0,49.8,50.2,1.47,9.8,6.4,10.0,229.0,181.0,233.0,171.0,55.0
10.0,45.3,226.0,461.0,176.0,180.0,179.0,192.0,49.9,50.1,1.46,9.8,6.4,9.0,229.0,180.0,225.0,171.0,55.0
11.0,47.7,238.0,508.0,179.0,181.0,178.0,196.0,49.9,50.1,1.45,10.0,6.6,11.0,229.0,180.0,238.0,171.0,55.0
12.0,46.1,231.0,554.0,177.0,182.0,179.0,194.0,49.8,50.2,1.45,9.9,6.6,10.0,230.0,182.0,230.0,171.0,55.0
13.0,47.7,239.0,603.0,173.0,177.0,178.0,197.0,50.0,50.0,1.43,9.9,6.7,11.0,233.0,180.0,239.0,171.0,55.0
