lap,time,pace,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight
1.0,62.2,311.0,62.0,129.0,150.0,162.0,209.0,51.7,48.3,1.12,9.7,7.7,7.0,273.0,169.0,290.0,173.0,48.0
2.0,59.5,297.0,121.0,164.0,174.0,168.0,211.0,51.1,48.9,1.21,9.6,7.7,10.0,284.0,170.0,297.0,173.0,48.0
3.0,63.5,317.0,185.0,178.0,180.0,170.0,211.0,50.9,49.1,1.15,9.3,7.9,11.0,298.0,172.0,315.0,173.0,48.0
4.0,61.7,309.0,246.0,180.0,182.0,169.0,214.0,50.7,49.3,1.13,9.4,8.0,10.0,315.0,172.0,309.0,173.0,48.0
5.0,64.8,324.0,311.0,184.0,185.0,168.0,220.0,50.8,49.2,1.1,9.4,8.3,11.0,318.0,171.0,324.0,173.0,48.0
6.0,63.2,316.0,374.0,184.0,185.0,170.0,221.0,50.7,49.3,1.1,9.1,8.1,11.0,313.0,172.0,315.0,173.0,48.0
7.0,63.1,316.0,438.0,182.0,183.0,174.0,219.0,50.9,49.1,1.1,8.5,7.5,11.0,312.0,176.0,315.0,173.0,48.0
8.0,63.3,317.0,501.0,182.0,184.0,176.0,219.0,50.7,49.3,1.08,8.2,7.4,11.0,314.0,179.0,315.0,173.0,48.0
9.0,60.2,301.0,561.0,183.0,185.0,178.0,218.0,50.6,49.4,1.1,8.2,7.2,10.0,305.0,183.0,300.0,173.0,48.0
10.0,59.9,299.0,621.0,184.0,187.0,181.0,214.0,50.3,49.7,1.12,7.7,6.6,10.0,296.0,183.0,299.0,173.0,48.0
11.0,55.4,277.0,677.0,190.0,193.0,180.0,211.0,50.3,49.7,1.19,7.7,6.3,10.0,256.0,184.0,277.0,173.0,48.0
12.0,54.3,271.0,731.0,194.0,196.0,184.0,207.0,50.4,49.6,1.21,7.5,5.9,10.0,263.0,187.0,270.0,173.0,48.0
13.0,55.4,277.0,786.0,196.0,197.0,184.0,211.0,51.0,49.0,1.17,7.5,6.2,10.0,269.0,186.0,275.0,173.0,48.0
14.0,57.3,286.0,844.0,197.0,198.0,182.0,217.0,51.5,48.5,1.18,7.5,6.2,11.0,276.0,186.0,286.0,173.0,48.0
15.0,56.3,282.0,900.0,198.0,199.0,179.0,222.0,51.3,48.7,1.15,7.8,6.5,10.0,284.0,183.0,280.0,173.0,48.0
1.0,52.9,265.0,52.0,155.0,175.0,172.0,235.0,49.7,50.3,1.2,10.8,7.8,11.0,247.0,178.0,250.0,173.0,48.0
2.0,57.6,288.0,110.0,182.0,189.0,174.0,245.0,50.0,50.0,1.26,11.4,8.7,15.0,247.0,179.0,288.0,173.0,48.0
3.0,62.4,312.0,172.0,185.0,189.0,171.0,239.0,50.2,49.8,1.15,11.9,10.0,14.0,287.0,173.0,310.0,173.0,48.0
4.0,58.3,291.0,231.0,184.0,186.0,172.0,243.0,50.0,50.0,1.15,11.7,10.0,12.0,306.0,174.0,290.0,173.0,48.0
5.0,60.6,303.0,291.0,185.0,187.0,173.0,243.0,50.0,50.0,1.2,11.6,9.4,14.0,264.0,178.0,303.0,173.0,48.0
6.0,59.9,300.0,351.0,186.0,188.0,173.0,248.0,50.2,49.8,1.12,11.6,10.1,13.0,310.0,178.0,300.0,173.0,48.0
7.0,58.4,292.0,410.0,186.0,189.0,175.0,240.0,50.0,50.0,1.21,11.4,9.2,14.0,267.0,178.0,290.0,173.0,48.0
8.0,64.2,321.0,474.0,182.0,185.0,172.0,251.0,50.4,49.6,1.09,11.6,10.4,14.0,304.0,176.0,321.0,173.0,48.0
9.0,65.3,327.0,539.0,182.0,185.0,173.0,253.0,50.3,49.7,1.07,11.4,10.4,14.0,317.0,174.0,325.0,173.0,48.0
10.0,66.1,331.0,606.0,180.0,183.0,172.0,252.0,50.4,49.6,1.05,11.6,10.9,14.0,332.0,176.0,330.0,173.0,48.0
11.0,67.8,339.0,674.0,175.0,179.0,172.0,250.0,50.0,50.0,1.01,11.7,11.4,14.0,327.0,174.0,339.0,173.0,48.0
12.0,61.5,307.0,735.0,181.0,186.0,172.0,238.0,50.2,49.8,1.15,11.9,10.2,14.0,294.0,174.0,305.0,173.0,48.0
13.0,66.3,331.0,801.0,183.0,188.0,171.0,250.0,50.2,49.8,1.08,11.8,10.6,15.0,314.0,173.0,331.0,173.0,48.0
14.0,64.0,320.0,865.0,183.0,186.0,171.0,244.0,50.2,49.8,1.1,12.0,10.7,14.0,324.0,173.0,320.0,173.0,48.0
15.0,62.4,312.0,928.0,184.0,186.0,173.0,248.0,50.3,49.7,1.09,11.5,10.4,13.0,321.0,177.0,310.0,173.0,48.0
1.0,52.9,265.0,52.0,155.0,175.0,172.0,235.0,49.7,50.3,1.2,10.8,7.8,11.0,247.0,178.0,250.0,173.0,48.0
2.0,57.6,288.0,110.0,182.0,189.0,174.0,245.0,50.0,50.0,1.26,11.4,8.7,15.0,247.0,179.0,288.0,173.0,48.0
3.0,62.4,312.0,172.0,185.0,189.0,171.0,239.0,50.2,49.8,1.15,11.9,10.0,14.0,287.0,173.0,310.0,173.0,48.0
4.0,58.3,291.0,231.0,184.0,186.0,172.0,243.0,50.0,50.0,1.15,11.7,10.0,12.0,306.0,174.0,290.0,173.0,48.0
5.0,60.6,303.0,291.0,185.0,187.0,173.0,243.0,50.0,50.0,1.2,11.6,9.4,14.0,264.0,178.0,303.0,173.0,48.0
6.0,59.9,300.0,351.0,186.0,188.0,173.0,248.0,50.2,49.8,1.12,11.6,10.1,13.0,310.0,178.0,300.0,173.0,48.0
7.0,58.4,292.0,410.0,186.0,189.0,175.0,240.0,50.0,50.0,1.21,11.4,9.2,14.0,267.0,178.0,290.0,173.0,48.0
8.0,64.2,321.0,474.0,182.0,185.0,172.0,251.0,50.4,49.6,1.09,11.6,10.4,14.0,304.0,176.0,321.0,173.0,48.0
9.0,65.3,327.0,539.0,182.0,185.0,173.0,253.0,50.3,49.7,1.07,11.4,10.4,14.0,317.0,174.0,325.0,173.0,48.0
10.0,66.1,331.0,606.0,180.0,183.0,172.0,252.0,50.4,49.6,1.05,11.6,10.9,14.0,332.0,176.0,330.0,173.0,48.0
11.0,67.8,339.0,674.0,175.0,179.0,172.0,250.0,50.0,50.0,1.01,11.7,11.4,14.0,327.0,174.0,339.0,173.0,48.0
12.0,61.5,307.0,735.0,181.0,186.0,172.0,238.0,50.2,49.8,1.15,11.9,10.2,14.0,294.0,174.0,305.0,173.0,48.0
13.0,66.3,331.0,801.0,183.0,188.0,171.0,250.0,50.2,49.8,1.08,11.8,10.6,15.0,314.0,173.0,331.0,173.0,48.0
14.0,64.0,320.0,865.0,183.0,186.0,171.0,244.0,50.2,49.8,1.1,12.0,10.7,14.0,324.0,173.0,320.0,173.0,48.0
15.0,62.4,312.0,928.0,184.0,186.0,173.0,248.0,50.3,49.7,1.09,11.5,10.4,13.0,321.0,177.0,310.0,173.0,48.0
