lap,time,pace,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight
1.0,54.8,274.0,54.0,145.0,162.0,169.0,209.0,50.5,49.5,1.6,9.8,5.3,9.0,210.0,174.0,274.0,177.0,62.0
2.0,51.1,256.0,105.0,162.0,166.0,166.0,213.0,50.7,49.3,1.41,10.4,7.1,12.0,230.0,168.0,255.0,177.0,62.0
3.0,51.5,257.0,157.0,152.0,156.0,164.0,216.0,50.6,49.4,1.41,10.6,7.3,12.0,261.0,166.0,257.0,177.0,62.0
4.0,56.5,283.0,213.0,168.0,176.0,162.0,221.0,50.7,49.3,1.33,10.9,7.9,13.0,263.0,163.0,283.0,177.0,62.0
5.0,56.0,280.0,269.0,175.0,176.0,162.0,223.0,50.8,49.3,1.31,10.9,8.1,12.0,267.0,163.0,280.0,177.0,62.0
6.0,56.4,282.0,326.0,175.0,176.0,161.0,224.0,50.7,49.3,1.29,11.1,8.4,12.0,275.0,163.0,282.0,177.0,62.0
7.0,57.8,289.0,384.0,175.0,176.0,161.0,230.0,50.9,49.1,1.27,11.0,8.4,12.0,280.0,162.0,285.0,177.0,62.0
8.0,61.4,307.0,445.0,173.0,174.0,161.0,236.0,51.2,48.8,1.19,11.0,9.1,13.0,302.0,163.0,305.0,177.0,62.0
9.0,56.4,282.0,502.0,175.0,176.0,161.0,227.0,50.8,49.2,1.3,11.0,8.2,12.0,265.0,164.0,282.0,177.0,62.0
10.0,58.4,292.0,560.0,176.0,178.0,164.0,227.0,50.9,49.1,1.28,10.5,8.0,12.0,284.0,167.0,290.0,177.0,62.0
11.0,63.4,317.0,624.0,175.0,177.0,160.0,238.0,51.7,48.3,1.16,11.1,9.3,13.0,293.0,163.0,315.0,177.0,62.0
12.0,62.9,314.0,687.0,175.0,177.0,163.0,234.0,51.4,48.6,1.18,10.7,8.8,13.0,311.0,166.0,314.0,177.0,62.0
13.0,62.5,312.0,749.0,175.0,176.0,161.0,241.0,51.5,48.5,1.15,10.9,9.2,13.0,315.0,163.0,313.0,177.0,62.0
14.0,60.4,302.0,810.0,177.0,177.0,163.0,237.0,51.1,48.9,1.21,10.5,8.5,13.0,278.0,166.0,300.0,177.0,62.0
15.0,59.5,297.0,869.0,175.0,177.0,162.0,237.0,51.2,48.8,1.19,10.7,8.8,12.0,278.0,163.0,297.0,177.0,62.0
1.0,48.6,243.0,48.0,144.0,163.0,165.0,209.0,50.0,50.0,1.31,10.2,7.9,11.0,234.0,172.0,240.0,177.0,62.0
2.0,51.0,255.0,99.0,168.0,171.0,164.0,210.0,50.5,49.5,1.45,11.3,7.5,13.0,244.0,167.0,255.0,177.0,62.0
3.0,50.9,255.0,150.0,171.0,172.0,163.0,210.0,50.1,49.9,1.43,11.3,7.7,13.0,236.0,164.0,255.0,177.0,62.0
4.0,51.3,256.0,201.0,173.0,176.0,161.0,212.0,50.4,49.6,1.41,11.4,7.9,13.0,250.0,162.0,250.0,177.0,62.0
5.0,49.4,247.0,251.0,175.0,178.0,162.0,208.0,50.1,49.9,1.46,11.2,7.4,12.0,241.0,163.0,247.0,177.0,62.0
6.0,50.2,251.0,301.0,177.0,178.0,161.0,210.0,50.0,50.0,1.45,11.4,7.6,12.0,234.0,163.0,250.0,177.0,62.0
7.0,50.5,252.0,351.0,178.0,180.0,162.0,210.0,49.6,50.4,1.46,11.3,7.5,12.0,247.0,163.0,252.0,177.0,62.0
8.0,50.8,254.0,402.0,178.0,179.0,161.0,211.0,49.7,50.3,1.45,11.4,7.6,13.0,247.0,163.0,254.0,177.0,62.0
9.0,48.6,243.0,451.0,178.0,180.0,161.0,210.0,49.8,50.3,1.48,11.3,7.4,12.0,248.0,163.0,240.0,177.0,62.0
10.0,52.3,261.0,503.0,180.0,181.0,160.0,212.0,49.6,50.4,1.45,11.5,7.7,13.0,237.0,161.0,260.0,177.0,62.0
11.0,50.5,252.0,554.0,178.0,180.0,162.0,212.0,49.4,50.6,1.44,11.3,7.6,12.0,253.0,163.0,250.0,177.0,62.0
12.0,50.0,250.0,604.0,175.0,178.0,162.0,213.0,50.0,50.0,1.45,11.2,7.4,12.0,244.0,164.0,250.0,177.0,62.0
13.0,50.3,252.0,654.0,178.0,179.0,162.0,212.0,50.2,49.8,1.48,11.0,7.2,13.0,246.0,164.0,251.0,177.0,62.0
14.0,49.5,248.0,704.0,178.0,181.0,163.0,210.0,49.8,50.2,1.48,11.0,7.2,12.0,244.0,164.0,245.0,177.0,62.0
15.0,41.8,209.0,746.0,180.0,182.0,171.0,192.0,49.3,50.7,1.6,9.5,5.9,11.0,182.0,182.0,209.0,177.0,62.0
1.0,48.6,243.0,48.0,144.0,163.0,165.0,209.0,50.0,50.0,1.31,10.2,7.9,11.0,234.0,172.0,240.0,177.0,62.0
2.0,51.0,255.0,99.0,168.0,171.0,164.0,210.0,50.5,49.5,1.45,11.3,7.5,13.0,244.0,167.0,255.0,177.0,62.0
3.0,50.9,255.0,150.0,171.0,172.0,163.0,210.0,50.1,49.9,1.43,11.3,7.7,13.0,236.0,164.0,255.0,177.0,62.0
4.0,51.3,256.0,201.0,173.0,176.0,161.0,212.0,50.4,49.6,1.41,11.4,7.9,13.0,250.0,162.0,250.0,177.0,62.0
5.0,49.4,247.0,251.0,175.0,178.0,162.0,208.0,50.1,49.9,1.46,11.2,7.4,12.0,241.0,163.0,247.0,177.0,62.0
6.0,50.2,251.0,301.0,177.0,178.0,161.0,210.0,50.0,50.0,1.45,11.4,7.6,12.0,234.0,163.0,250.0,177.0,62.0
7.0,50.5,252.0,351.0,178.0,180.0,162.0,210.0,49.6,50.4,1.46,11.3,7.5,12.0,247.0,163.0,252.0,177.0,62.0
8.0,50.8,254.0,402.0,178.0,179.0,161.0,211.0,49.7,50.3,1.45,11.4,7.6,13.0,247.0,163.0,254.0,177.0,62.0
9.0,48.6,243.0,451.0,178.0,180.0,161.0,210.0,49.8,50.3,1.48,11.3,7.4,12.0,248.0,163.0,240.0,177.0,62.0
10.0,52.3,261.0,503.0,180.0,181.0,160.0,212.0,49.6,50.4,1.45,11.5,7.7,13.0,237.0,161.0,260.0,177.0,62.0
11.0,50.5,252.0,554.0,178.0,180.0,162.0,212.0,49.4,50.6,1.44,11.3,7.6,12.0,253.0,163.0,250.0,177.0,62.0
12.0,50.0,250.0,604.0,175.0,178.0,162.0,213.0,50.0,50.0,1.45,11.2,7.4,12.0,244.0,164.0,250.0,177.0,62.0
13.0,50.3,252.0,654.0,178.0,179.0,162.0,212.0,50.2,49.8,1.48,11.0,7.2,13.0,246.0,164.0,251.0,177.0,62.0
14.0,49.5,248.0,704.0,178.0,181.0,163.0,210.0,49.8,50.2,1.48,11.0,7.2,12.0,244.0,164.0,245.0,177.0,62.0
15.0,41.8,209.0,746.0,180.0,182.0,171.0,192.0,49.3,50.7,1.6,9.5,5.9,11.0,182.0,182.0,209.0,177.0,62.0
