lap,time,pace,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight
1.0,68.5,343.0,68.0,109.0,135.0,161.0,247.0,52.2,47.8,1.18,10.2,8.9,6.0,257.0,164.0,320.0,172.0,48.0
2.0,67.3,337.0,135.0,141.0,145.0,162.0,254.0,51.8,48.2,1.14,10.3,8.8,10.0,267.0,164.0,337.0,172.0,48.0
3.0,70.8,354.0,206.0,143.0,145.0,163.0,259.0,52.0,48.0,1.05,9.7,9.0,10.0,275.0,164.0,354.0,172.0,48.0
4.0,70.8,354.0,277.0,147.0,150.0,165.0,257.0,51.4,48.6,1.02,9.4,9.0,10.0,269.0,167.0,354.0,172.0,48.0
5.0,71.1,355.0,348.0,147.0,151.0,166.0,256.0,51.1,48.9,1.03,9.3,8.8,10.0,340.0,167.0,355.0,172.0,48.0
6.0,71.5,357.0,420.0,147.0,149.0,164.0,259.0,51.2,48.8,1.02,9.2,8.8,10.0,327.0,167.0,355.0,172.0,48.0
7.0,69.9,349.0,489.0,149.0,153.0,167.0,264.0,51.6,48.4,1.03,8.7,8.2,10.0,335.0,169.0,349.0,172.0,48.0
8.0,70.1,350.0,560.0,152.0,154.0,167.0,265.0,51.1,48.9,1.03,8.6,8.1,10.0,338.0,169.0,350.0,172.0,48.0
9.0,70.9,354.0,631.0,148.0,154.0,166.0,269.0,51.5,48.5,1.02,8.7,8.3,10.0,342.0,167.0,354.0,172.0,48.0
10.0,70.7,353.0,701.0,145.0,150.0,166.0,270.0,51.0,49.0,1.03,8.6,8.2,10.0,339.0,167.0,353.0,172.0,48.0
11.0,71.2,356.0,773.0,152.0,156.0,166.0,265.0,51.1,48.9,1.02,8.9,8.5,10.0,340.0,168.0,355.0,172.0,48.0
12.0,71.3,357.0,844.0,149.0,153.0,166.0,264.0,51.1,48.9,1.02,9.0,8.6,10.0,320.0,167.0,355.0,172.0,48.0
13.0,69.8,349.0,914.0,147.0,151.0,165.0,272.0,50.8,49.2,1.04,8.6,8.1,10.0,269.0,167.0,349.0,172.0,48.0
14.0,70.4,352.0,984.0,149.0,152.0,166.0,263.0,50.7,49.3,1.04,8.9,8.4,10.0,317.0,168.0,352.0,172.0,48.0
15.0,68.2,341.0,1052.0,155.0,159.0,166.0,251.0,50.8,49.2,1.06,9.2,8.5,10.0,271.0,169.0,340.0,172.0,48.0
1.0,57.9,290.0,57.0,141.0,156.0,162.0,230.0,50.2,49.8,1.22,9.6,8.6,7.0,267.0,167.0,290.0,172.0,48.0
2.0,59.8,299.0,117.0,162.0,165.0,163.0,238.0,50.6,49.4,1.27,9.7,7.4,10.0,273.0,164.0,299.0,172.0,48.0
3.0,60.9,305.0,178.0,163.0,165.0,162.0,243.0,51.0,49.0,1.23,9.5,7.5,10.0,292.0,163.0,305.0,172.0,48.0
4.0,61.9,309.0,240.0,165.0,166.0,163.0,246.0,52.1,47.9,1.17,9.1,7.6,10.0,316.0,165.0,309.0,172.0,48.0
5.0,61.7,309.0,302.0,165.0,168.0,164.0,244.0,51.8,48.3,1.19,9.0,7.4,10.0,309.0,166.0,309.0,172.0,48.0
6.0,61.7,308.0,363.0,165.0,167.0,165.0,241.0,51.3,48.7,1.17,9.0,7.5,10.0,301.0,167.0,305.0,172.0,48.0
7.0,62.1,311.0,426.0,167.0,169.0,165.0,243.0,51.5,48.5,1.2,8.8,7.1,10.0,293.0,166.0,311.0,172.0,48.0
8.0,60.9,304.0,486.0,166.0,169.0,166.0,240.0,51.7,48.3,1.17,9.0,7.4,10.0,308.0,167.0,300.0,172.0,48.0
9.0,63.3,317.0,550.0,164.0,168.0,165.0,242.0,52.1,47.9,1.16,8.9,7.4,10.0,306.0,167.0,317.0,172.0,48.0
10.0,58.3,292.0,609.0,165.0,169.0,167.0,234.0,52.2,47.8,1.19,8.9,7.2,10.0,300.0,169.0,290.0,172.0,48.0
11.0,57.8,289.0,666.0,167.0,169.0,167.0,230.0,50.9,49.1,1.25,8.8,6.9,9.0,290.0,168.0,289.0,172.0,48.0
12.0,58.2,291.0,725.0,169.0,171.0,167.0,228.0,50.9,49.1,1.28,8.8,6.6,10.0,279.0,169.0,290.0,172.0,48.0
13.0,59.6,298.0,784.0,168.0,171.0,166.0,234.0,51.5,48.5,1.23,8.8,6.9,9.0,282.0,168.0,298.0,172.0,48.0
14.0,54.3,272.0,839.0,170.0,172.0,168.0,224.0,50.8,49.2,1.3,8.6,6.5,10.0,263.0,170.0,270.0,172.0,48.0
15.0,51.5,257.0,890.0,166.0,171.0,168.0,218.0,49.8,50.2,1.35,8.7,6.2,8.0,261.0,169.0,255.0,172.0,48.0
1.0,41.6,208.0,41.0,102.0,128.0,155.0,184.0,46.9,53.1,1.66,12.9,8.6,5.0,220.0,157.0,200.0,172.0,48.0
2.0,46.5,232.0,88.0,138.0,141.0,154.0,186.0,47.5,52.5,1.75,13.2,7.3,9.0,220.0,155.0,232.0,172.0,48.0
3.0,49.2,246.0,137.0,140.0,141.0,153.0,197.0,49.1,50.9,1.7,13.1,7.4,12.0,226.0,156.0,245.0,172.0,48.0
4.0,51.2,256.0,188.0,146.0,153.0,154.0,204.0,49.2,50.8,1.5,12.9,8.3,12.0,252.0,155.0,255.0,172.0,48.0
5.0,50.3,252.0,238.0,151.0,152.0,155.0,204.0,49.3,50.7,1.49,12.7,8.3,10.0,250.0,162.0,250.0,172.0,48.0
6.0,50.9,254.0,289.0,154.0,157.0,154.0,201.0,49.8,50.2,1.53,12.7,8.1,13.0,243.0,156.0,254.0,172.0,48.0
7.0,51.2,256.0,340.0,158.0,160.0,155.0,201.0,49.8,50.2,1.54,12.7,7.9,12.0,241.0,156.0,255.0,172.0,48.0
8.0,54.0,270.0,394.0,158.0,161.0,154.0,210.0,49.6,50.4,1.46,12.6,8.4,14.0,258.0,156.0,270.0,172.0,48.0
9.0,50.0,250.0,444.0,163.0,166.0,153.0,199.0,49.5,50.5,1.54,12.9,8.1,11.0,256.0,155.0,250.0,172.0,48.0
10.0,50.6,253.0,495.0,165.0,169.0,154.0,208.0,49.3,50.7,1.54,12.5,7.9,13.0,244.0,156.0,253.0,172.0,48.0
11.0,53.9,269.0,549.0,167.0,171.0,156.0,215.0,50.0,50.0,1.45,12.2,8.1,11.0,261.0,159.0,269.0,172.0,48.0
12.0,54.8,274.0,604.0,165.0,171.0,156.0,212.0,49.9,50.1,1.42,12.3,8.3,11.0,263.0,158.0,274.0,172.0,48.0
13.0,53.9,270.0,658.0,173.0,174.0,155.0,213.0,49.8,50.2,1.43,12.5,8.4,12.0,258.0,158.0,265.0,172.0,48.0
14.0,55.4,277.0,713.0,174.0,175.0,154.0,214.0,49.8,50.2,1.43,12.7,8.6,13.0,265.0,155.0,277.0,172.0,48.0
15.0,54.8,274.0,768.0,175.0,176.0,153.0,211.0,49.5,50.5,1.42,12.8,8.8,12.0,273.0,154.0,274.0,172.0,48.0
