lap,time,pace,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight
1.0,57.7,288.0,57.0,135.0,149.0,157.0,225.0,49.8,50.2,1.22,11.1,8.9,11.0,275.0,164.0,280.0,176.0,79.0
2.0,60.3,301.0,117.0,154.0,161.0,159.0,231.0,50.1,49.9,1.26,11.5,8.9,13.0,281.0,160.0,301.0,176.0,79.0
3.0,57.9,289.0,175.0,164.0,171.0,159.0,227.0,50.1,49.9,1.29,11.2,8.4,12.0,290.0,161.0,285.0,176.0,79.0
4.0,58.7,293.0,234.0,172.0,173.0,160.0,226.0,50.5,49.5,1.31,11.2,8.3,12.0,278.0,161.0,293.0,176.0,79.0
5.0,61.6,308.0,296.0,172.0,174.0,161.0,235.0,50.8,49.2,1.22,11.2,9.0,13.0,297.0,163.0,305.0,176.0,79.0
6.0,70.1,350.0,366.0,164.0,171.0,159.0,247.0,51.0,49.0,1.07,11.3,10.4,14.0,318.0,165.0,350.0,176.0,79.0
7.0,79.1,396.0,445.0,159.0,164.0,158.0,265.0,51.0,49.0,0.97,11.0,11.1,14.0,368.0,160.0,395.0,176.0,79.0
8.0,75.4,377.0,520.0,150.0,155.0,154.0,261.0,51.2,48.8,1.02,11.9,11.4,12.0,376.0,160.0,375.0,176.0,79.0
9.0,77.9,390.0,598.0,155.0,160.0,157.0,267.0,51.3,48.7,1.0,11.2,11.0,13.0,375.0,159.0,390.0,176.0,79.0
10.0,81.1,406.0,680.0,150.0,156.0,159.0,272.0,52.0,48.0,0.92,10.6,11.3,12.0,393.0,161.0,405.0,176.0,79.0
11.0,76.2,381.0,756.0,152.0,156.0,159.0,259.0,51.5,48.5,0.99,11.1,11.1,13.0,381.0,162.0,381.0,176.0,79.0
12.0,89.1,445.0,845.0,148.0,150.0,156.0,272.0,51.8,48.2,0.91,11.1,12.1,14.0,383.0,163.0,445.0,176.0,79.0
13.0,74.5,373.0,920.0,150.0,152.0,157.0,263.0,52.0,48.0,0.98,11.3,11.3,13.0,362.0,164.0,370.0,176.0,79.0
