lap,time,pace,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight
1.0,47.5,238.0,47.0,135.0,165.0,187.0,171.0,48.9,51.1,1.29,7.9,9.9,6.0,222.0,194.0,220.0,163.0,48.0
2.0,46.6,233.0,94.0,175.0,180.0,185.0,179.0,49.7,50.3,1.42,8.4,5.8,8.0,228.0,187.0,233.0,163.0,48.0
3.0,46.9,235.0,141.0,185.0,188.0,184.0,181.0,50.5,49.5,1.41,8.5,5.8,8.0,230.0,185.0,235.0,163.0,48.0
4.0,49.0,245.0,190.0,189.0,190.0,183.0,181.0,50.6,49.4,1.36,8.6,6.0,9.0,233.0,185.0,245.0,163.0,48.0
5.0,46.9,234.0,236.0,191.0,192.0,184.0,181.0,50.3,49.7,1.37,8.4,5.9,9.0,235.0,185.0,234.0,163.0,48.0
6.0,48.6,243.0,285.0,193.0,194.0,183.0,177.0,50.9,49.1,1.37,8.6,6.0,9.0,236.0,185.0,240.0,163.0,48.0
7.0,49.6,248.0,335.0,195.0,196.0,182.0,178.0,50.5,49.5,1.34,8.6,6.3,9.0,245.0,185.0,248.0,163.0,48.0
8.0,47.1,235.0,382.0,196.0,196.0,181.0,179.0,50.7,49.3,1.37,8.6,6.0,9.0,243.0,183.0,235.0,163.0,48.0
9.0,49.4,247.0,431.0,196.0,197.0,181.0,178.0,50.7,49.3,1.4,8.6,5.9,9.0,234.0,183.0,245.0,163.0,48.0
10.0,48.0,240.0,479.0,197.0,197.0,182.0,181.0,50.9,49.1,1.37,8.5,6.0,9.0,240.0,183.0,240.0,163.0,48.0
11.0,48.8,244.0,528.0,197.0,197.0,182.0,184.0,50.4,49.6,1.39,8.4,5.8,9.0,239.0,184.0,244.0,163.0,48.0
