lap,time,pace,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight
1.0,54.7,273.0,54.0,126.0,148.0,169.0,197.0,48.5,51.5,1.22,10.5,8.5,7.0,228.0,176.0,240.0,167.0,60.0
2.0,48.6,243.0,103.0,154.0,158.0,175.0,191.0,48.1,51.9,1.39,10.7,7.5,8.0,244.0,176.0,240.0,167.0,60.0
3.0,51.9,260.0,155.0,159.0,162.0,176.0,196.0,47.8,52.2,1.28,10.3,7.8,11.0,264.0,178.0,260.0,167.0,60.0
4.0,50.2,251.0,205.0,161.0,166.0,177.0,196.0,47.6,52.4,1.32,10.0,7.4,11.0,253.0,180.0,251.0,167.0,60.0
5.0,49.4,247.0,254.0,169.0,172.0,178.0,195.0,47.8,52.2,1.36,9.7,6.9,12.0,231.0,180.0,245.0,167.0,60.0
6.0,51.9,259.0,306.0,174.0,178.0,177.0,203.0,47.9,52.1,1.32,9.7,7.2,12.0,245.0,179.0,259.0,167.0,60.0
7.0,54.3,272.0,361.0,172.0,178.0,176.0,205.0,48.2,51.8,1.26,9.8,7.5,11.0,263.0,177.0,270.0,167.0,60.0
8.0,54.7,274.0,415.0,172.0,175.0,176.0,203.0,48.5,51.5,1.27,9.9,7.6,12.0,268.0,177.0,274.0,167.0,60.0
9.0,54.5,273.0,470.0,174.0,180.0,177.0,207.0,48.6,51.4,1.23,9.6,7.6,12.0,272.0,180.0,273.0,167.0,60.0
10.0,53.9,270.0,524.0,180.0,183.0,177.0,204.0,48.7,51.3,1.25,10.0,7.8,11.0,262.0,178.0,270.0,167.0,60.0
11.0,56.2,281.0,580.0,175.0,177.0,177.0,208.0,48.5,51.5,1.24,9.7,7.6,12.0,269.0,179.0,280.0,167.0,60.0
12.0,57.9,289.0,638.0,175.0,177.0,177.0,209.0,48.5,51.5,1.17,9.8,8.1,11.0,281.0,179.0,289.0,167.0,60.0
