lap,time,pace,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight
1.0,47.3,237.0,47.0,127.0,149.0,165.0,215.0,48.7,51.3,1.47,10.5,9.7,6.0,206.0,172.0,220.0,169.0,57.0
2.0,48.5,242.0,95.0,151.0,160.0,170.0,199.0,49.8,50.2,1.5,10.6,6.8,11.0,226.0,172.0,242.0,169.0,57.0
3.0,52.9,264.0,148.0,180.0,196.0,170.0,199.0,49.9,50.1,1.39,10.6,7.3,11.0,235.0,171.0,264.0,169.0,57.0
4.0,56.6,283.0,205.0,195.0,197.0,170.0,206.0,49.8,50.2,1.28,10.4,7.9,12.0,268.0,174.0,280.0,169.0,57.0
5.0,54.9,275.0,260.0,195.0,198.0,171.0,207.0,49.8,50.2,1.27,10.3,7.8,12.0,279.0,172.0,275.0,169.0,57.0
6.0,59.2,296.0,319.0,197.0,198.0,172.0,219.0,49.5,50.5,1.23,10.0,7.8,13.0,282.0,175.0,296.0,169.0,57.0
7.0,57.9,289.0,377.0,196.0,196.0,175.0,214.0,49.7,50.3,1.17,9.6,7.9,12.0,292.0,177.0,285.0,169.0,57.0
8.0,56.8,284.0,434.0,195.0,197.0,175.0,214.0,49.9,50.1,1.21,9.7,7.7,12.0,290.0,177.0,284.0,169.0,57.0
9.0,58.4,292.0,492.0,196.0,197.0,174.0,214.0,49.8,50.2,1.19,9.8,7.9,13.0,290.0,177.0,292.0,169.0,57.0
10.0,57.4,287.0,549.0,197.0,197.0,174.0,217.0,49.7,50.3,1.17,9.7,8.1,12.0,293.0,176.0,285.0,169.0,57.0
11.0,61.1,305.0,611.0,197.0,198.0,174.0,215.0,49.5,50.5,1.14,10.0,8.4,13.0,292.0,175.0,305.0,169.0,57.0
12.0,62.8,314.0,674.0,196.0,197.0,174.0,217.0,49.3,50.7,1.12,9.9,8.5,13.0,304.0,176.0,314.0,169.0,57.0
13.0,62.2,311.0,736.0,197.0,199.0,174.0,213.0,49.6,50.4,1.13,10.0,8.5,13.0,306.0,175.0,310.0,169.0,57.0
14.0,61.4,307.0,797.0,197.0,199.0,174.0,214.0,49.6,50.4,1.11,10.0,8.7,13.0,299.0,176.0,305.0,169.0,57.0
15.0,52.6,263.0,850.0,201.0,203.0,176.0,212.0,49.6,50.4,1.24,9.7,7.6,12.0,270.0,179.0,263.0,169.0,57.0
1.0,50.3,251.0,50.0,157.0,173.0,186.0,193.0,49.7,50.3,1.28,7.0,5.7,7.0,227.0,216.0,235.0,169.0,57.0
2.0,45.7,229.0,96.0,180.0,183.0,188.0,196.0,50.6,49.4,1.34,7.1,5.1,8.0,241.0,189.0,229.0,169.0,57.0
3.0,47.0,235.0,142.0,185.0,186.0,186.0,200.0,51.1,48.9,1.34,7.3,5.2,8.0,236.0,188.0,235.0,169.0,57.0
4.0,47.2,236.0,190.0,188.0,189.0,186.0,201.0,51.1,48.9,1.34,7.3,5.2,8.0,236.0,188.0,236.0,169.0,57.0
5.0,47.9,240.0,238.0,190.0,191.0,187.0,199.0,51.4,48.6,1.35,7.4,5.3,8.0,230.0,189.0,240.0,169.0,57.0
6.0,46.9,235.0,285.0,192.0,193.0,186.0,200.0,50.6,49.4,1.34,7.3,5.3,8.0,230.0,188.0,235.0,169.0,57.0
7.0,48.5,243.0,333.0,195.0,196.0,186.0,200.0,51.3,48.7,1.34,7.5,5.3,9.0,233.0,188.0,240.0,169.0,57.0
8.0,47.7,238.0,381.0,196.0,196.0,187.0,201.0,51.6,48.4,1.33,7.4,5.3,9.0,238.0,188.0,238.0,169.0,57.0
