lap,time,pace,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight
1.0,48.5,242.0,48.0,146.0,161.0,175.0,206.0,50.5,49.5,1.28,9.4,6.8,10.0,229.0,181.0,225.0,172.0,70.0
2.0,48.7,244.0,97.0,170.0,175.0,176.0,203.0,50.8,49.2,1.42,9.8,6.6,12.0,236.0,177.0,244.0,172.0,70.0
3.0,52.5,263.0,149.0,184.0,188.0,173.0,203.0,50.9,49.1,1.37,10.2,7.2,15.0,246.0,175.0,263.0,172.0,70.0
4.0,53.0,265.0,202.0,187.0,190.0,170.0,206.0,50.8,49.3,1.31,10.4,7.7,14.0,263.0,171.0,265.0,172.0,70.0
5.0,54.9,275.0,257.0,191.0,192.0,171.0,209.0,51.0,49.0,1.29,10.4,7.8,15.0,273.0,172.0,270.0,172.0,70.0
6.0,54.3,271.0,311.0,191.0,194.0,170.0,210.0,51.2,48.8,1.29,10.4,7.8,15.0,273.0,173.0,271.0,172.0,70.0
7.0,60.3,302.0,372.0,191.0,193.0,169.0,221.0,50.9,49.1,1.19,10.4,8.4,16.0,278.0,170.0,300.0,172.0,70.0
8.0,62.5,312.0,434.0,188.0,191.0,169.0,224.0,50.9,49.1,1.16,10.3,8.7,16.0,296.0,170.0,312.0,172.0,70.0
9.0,66.9,335.0,501.0,188.0,191.0,168.0,238.0,50.9,49.1,1.08,10.3,9.3,16.0,312.0,170.0,330.0,172.0,70.0
10.0,63.3,317.0,565.0,191.0,194.0,169.0,238.0,50.7,49.3,1.12,10.4,9.0,17.0,301.0,173.0,317.0,172.0,70.0
11.0,69.7,349.0,635.0,187.0,191.0,167.0,245.0,50.6,49.4,1.01,10.5,10.1,18.0,351.0,168.0,349.0,172.0,70.0
12.0,61.8,309.0,696.0,186.0,189.0,169.0,227.0,50.6,49.4,1.14,10.4,8.9,16.0,288.0,175.0,305.0,172.0,70.0
13.0,67.6,338.0,764.0,180.0,185.0,167.0,241.0,50.7,49.3,1.05,10.5,9.8,16.0,345.0,168.0,338.0,172.0,70.0
14.0,70.4,352.0,834.0,180.0,182.0,168.0,242.0,50.6,49.4,1.04,10.3,9.7,16.0,340.0,171.0,350.0,172.0,70.0
15.0,68.7,343.0,903.0,182.0,183.0,168.0,243.0,50.6,49.4,1.0,10.3,10.2,15.0,323.0,175.0,343.0,172.0,70.0
1.0,48.5,242.0,48.0,146.0,161.0,175.0,206.0,50.5,49.5,1.28,9.4,6.8,10.0,229.0,181.0,225.0,172.0,70.0
2.0,48.7,244.0,97.0,170.0,175.0,176.0,203.0,50.8,49.2,1.42,9.8,6.6,12.0,236.0,177.0,244.0,172.0,70.0
3.0,52.5,263.0,149.0,184.0,188.0,173.0,203.0,50.9,49.1,1.37,10.2,7.2,15.0,246.0,175.0,263.0,172.0,70.0
4.0,53.0,265.0,202.0,187.0,190.0,170.0,206.0,50.8,49.3,1.31,10.4,7.7,14.0,263.0,171.0,265.0,172.0,70.0
5.0,54.9,275.0,257.0,191.0,192.0,171.0,209.0,51.0,49.0,1.29,10.4,7.8,15.0,273.0,172.0,270.0,172.0,70.0
6.0,54.3,271.0,311.0,191.0,194.0,170.0,210.0,51.2,48.8,1.29,10.4,7.8,15.0,273.0,173.0,271.0,172.0,70.0
7.0,60.3,302.0,372.0,191.0,193.0,169.0,221.0,50.9,49.1,1.19,10.4,8.4,16.0,278.0,170.0,300.0,172.0,70.0
8.0,62.5,312.0,434.0,188.0,191.0,169.0,224.0,50.9,49.1,1.16,10.3,8.7,16.0,296.0,170.0,312.0,172.0,70.0
9.0,66.9,335.0,501.0,188.0,191.0,168.0,238.0,50.9,49.1,1.08,10.3,9.3,16.0,312.0,170.0,330.0,172.0,70.0
10.0,63.3,317.0,565.0,191.0,194.0,169.0,238.0,50.7,49.3,1.12,10.4,9.0,17.0,301.0,173.0,317.0,172.0,70.0
11.0,69.7,349.0,635.0,187.0,191.0,167.0,245.0,50.6,49.4,1.01,10.5,10.1,18.0,351.0,168.0,349.0,172.0,70.0
12.0,61.8,309.0,696.0,186.0,189.0,169.0,227.0,50.6,49.4,1.14,10.4,8.9,16.0,288.0,175.0,305.0,172.0,70.0
13.0,67.6,338.0,764.0,180.0,185.0,167.0,241.0,50.7,49.3,1.05,10.5,9.8,16.0,345.0,168.0,338.0,172.0,70.0
14.0,70.4,352.0,834.0,180.0,182.0,168.0,242.0,50.6,49.4,1.04,10.3,9.7,16.0,340.0,171.0,350.0,172.0,70.0
15.0,68.7,343.0,903.0,182.0,183.0,168.0,243.0,50.6,49.4,1.0,10.3,10.2,15.0,323.0,175.0,343.0,172.0,70.0
1.0,48.5,242.0,48.0,146.0,161.0,175.0,206.0,50.5,49.5,1.28,9.4,6.8,10.0,229.0,181.0,225.0,172.0,70.0
2.0,48.7,244.0,97.0,170.0,175.0,176.0,203.0,50.8,49.2,1.42,9.8,6.6,12.0,236.0,177.0,244.0,172.0,70.0
3.0,52.5,263.0,149.0,184.0,188.0,173.0,203.0,50.9,49.1,1.37,10.2,7.2,15.0,246.0,175.0,263.0,172.0,70.0
4.0,53.0,265.0,202.0,187.0,190.0,170.0,206.0,50.8,49.3,1.31,10.4,7.7,14.0,263.0,171.0,265.0,172.0,70.0
