ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:58.3,00:58.3,0.2,4:51,,142,166,,7.0,,,,,172,228,左 48.7%／右 51.3%,1.23,9.0,6.4,12,,4:33,182,0:54,4:30,180,65
2,00:55.1,01:53.3,0.2,4:35,,175,182,8.0,,,,,,177,224,左 49.2%／右 50.8%,1.25,9.1,7.1,15,,4:33,179,0:55,4:35,180,65
3,00:56.1,02:49.4,0.2,4:40,,185,190,,8.0,,,,,174,227,左 49.1%／右 50.9%,1.23,9.2,7.3,16,,4:33,177,0:56,4:40,180,65
4,01:01.4,03:50.8,0.2,5:07,,192,193,8.0,7.0,,,,,174,233,左 49.2%／右 50.8%,1.17,9.1,7.5,18,,4:43,176,01:01.4,5:07,180,65
5,01:03.1,04:53.9,0.2,5:16,,193,194,9.0,,,,,,172,245,左 48.5%／右 51.5%,1.1,9.0,8.0,17,,5:10,173,1:03,5:15,180,65
6,01:05.0,05:58.9,0.2,5:25,,194,196,,10.0,,,,,172,245,左 48.4%／右 51.6%,1.11,9.0,7.9,19,,5:01,175,1:05,5:25,180,65
7,01:05.1,07:04.0,0.2,5:25,,186,188,11.0,,,,,,172,249,左 47.8%／右 52.2%,1.06,8.9,8.2,17,,5:30,173,1:05,5:25,180,65
8,01:06.5,08:10.5,0.2,5:33,,189,191,,10.0,,,,,171,251,左 47.7%／右 52.3%,1.05,8.8,8.1,18,,5:22,173,1:06,5:30,180,65
9,01:06.0,09:16.5,0.2,5:30,,191,192,9.0,,,,,,171,252,左 47.4%／右 52.6%,1.07,9.0,8.1,18,,5:18,172,1:06,5:30,180,65
10,01:10.8,10:27,0.2,5:54,,193,195,,10.0,,,,,170,259,左 47.8%／右 52.2%,1.01,8.7,8.4,20,,5:29,172,01:10.8,5:54,180,65
11,01:13.1,11:40,0.2,6:05,,190,193,10.0,,,,,,170,265,左 48.8%／右 51.2%,0.96,8.6,8.8,21,,5:56,171,1:13,6:05,180,65
12,01:14.8,12:55,0.2,6:14,,191,193,,10.0,,,,,170,266,左 48.5%／右 51.5%,0.95,8.5,8.8,21,,6:03,171,01:14.8,6:14,180,65
13,01:12.1,14:07,0.2,6:00,,192,193,11.0,1.0,,,,,170,265,左 48.6%／右 51.4%,0.98,8.8,8.8,20,,6:02,172,1:12,6:00,180,65
14,01:15.4,15:23,0.2,6:17,,193,196,,10.0,,,,,169,271,左 49.0%／右 51.0%,0.97,8.4,8.5,21,,5:49,171,1:15,6:15,180,65
15,01:20.0,16:43,0.2,6:40,,190,193,11.0,9.0,,,,,169,277,左 49.6%／右 50.4%,0.9,8.1,8.8,22,,6:16,171,1:20,6:40,180,65
16,00:01.5,16:44,0.01,4:49,,187,187,,,,,,,169,270,左 49.9%／右 50.1%,0.92,8.6,9.1,1,,6:31,169,0:01,3:13,180,65
1,00:44.9,00:44.9,0.2,3:45,,112,122,,9.0,,,,,182,212,左 49.4%／右 50.6%,1.32,7.3,6.3,5,,2:47,205,0:44,3:40,180,65
2,00:51.3,01:36.2,0.2,4:17,,136,146,10.0,,,,,,184,211,左 49.3%／右 50.7%,1.25,7.7,5.9,9,,4:13,186,0:51,4:15,180,65
