ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:54.8,00:54.8,0.2,4:34,,145,162,,7.0,,,,,169,209,49.5% L / 50.5% R,1.6,9.8,5.3,9,,3:30,174,00:54.8,4:34,177.0,62.0
2,00:51.1,01:45.9,0.2,4:16,,162,166,13.0,10.0,,,,,166,213,49.3% L / 50.7% R,1.41,10.4,7.1,12,,3:50,168,0:51,4:15,177.0,62.0
3,00:51.5,02:37.4,0.2,4:17,,152,156,,,,,,,164,216,49.4% L / 50.6% R,1.41,10.6,7.3,12,,4:21,166,00:51.5,4:17,177.0,62.0
4,00:56.5,03:33.9,0.2,4:43,,168,176,6.0,,,,,,162,221,49.3% L / 50.7% R,1.33,10.9,7.9,13,,4:23,163,00:56.5,4:43,177.0,62.0
5,00:56.0,04:29.9,0.2,4:40,,175,176,12.0,9.0,,,,,162,223,49.3% L / 50.8% R,1.31,10.9,8.1,12,,4:27,163,0:56,4:40,177.0,62.0
6,00:56.4,05:26.4,0.2,4:42,,175,176,,11.0,,,,,161,224,49.3% L / 50.7% R,1.29,11.1,8.4,12,,4:35,163,00:56.4,4:42,177.0,62.0
7,00:57.8,06:24.2,0.2,4:49,,175,176,10.0,,,,,,161,230,49.1% L / 50.9% R,1.27,11.0,8.4,12,,4:40,162,0:57,4:45,177.0,62.0
8,01:01.4,07:25.6,0.2,5:07,,173,174,,9.0,,,,,161,236,48.8% L / 51.2% R,1.19,11.0,9.1,13,,5:02,163,1:01,5:05,177.0,62.0
9,00:56.4,08:22.0,0.2,4:42,,175,176,9.0,,,,,,161,227,49.2% L / 50.8% R,1.3,11.0,8.2,12,,4:25,164,00:56.4,4:42,177.0,62.0
10,00:58.4,09:20.4,0.2,4:52,,176,178,,9.0,,,,,164,227,49.1% L / 50.9% R,1.28,10.5,8.0,12,,4:44,167,0:58,4:50,177.0,62.0
11,01:03.4,10:24,0.2,5:17,,175,177,11.0,,,,,,160,238,48.3% L / 51.7% R,1.16,11.1,9.3,13,,4:53,163,1:03,5:15,177.0,62.0
12,01:02.9,11:27,0.2,5:14,,175,177,,10.0,,,,,163,234,48.6% L / 51.4% R,1.18,10.7,8.8,13,,5:11,166,01:02.9,5:14,177.0,62.0
13,01:02.5,12:29,0.2,5:12,,175,176,11.0,,,,,,161,241,48.5% L / 51.5% R,1.15,10.9,9.2,13,,5:15,163,01:02.5,5:13,177.0,62.0
14,01:00.4,13:30,0.2,5:02,,177,177,,11.0,,,,,163,237,48.9% L / 51.1% R,1.21,10.5,8.5,13,,4:38,166,1:00,5:00,177.0,62.0
15,00:59.5,14:29,0.2,4:57,,175,177,9.0,,,,,,162,237,48.8% L / 51.2% R,1.19,10.7,8.8,12,,4:38,163,00:59.5,4:57,177.0,62.0
1,00:48.6,00:48.6,0.2,4:03,,144,163,,,,,,,165,209,50.0% L / 50.0% R,1.31,10.2,7.9,11,,3:54,172,0:48,4:00,177.0,62.0
2,00:51.0,01:39.6,0.2,4:15,,168,171,,,,,,,164,210,49.5% L / 50.5% R,1.45,11.3,7.5,13,,4:04,167,0:51,4:15,177.0,62.0
3,00:50.9,02:30.6,0.2,4:15,,171,172,,,,,,,163,210,49.9% L / 50.1% R,1.43,11.3,7.7,13,,3:56,164,00:50.9,4:15,177.0,62.0
4,00:51.3,03:21.9,0.2,4:16,,173,176,5.0,,,,,,161,212,49.6% L / 50.4% R,1.41,11.4,7.9,13,,4:10,162,0:50,4:10,177.0,62.0
5,00:49.4,04:11.2,0.2,4:07,,175,178,,4.0,,,,,162,208,49.9% L / 50.1% R,1.46,11.2,7.4,12,,4:01,163,00:49.4,4:07,177.0,62.0
6,00:50.2,05:01.4,0.2,4:11,,177,178,,,,,,,161,210,50.0% L / 50.0% R,1.45,11.4,7.6,12,,3:54,163,0:50,4:10,177.0,62.0
7,00:50.5,05:51.9,0.2,4:12,,178,180,,,,,,,162,210,50.4% L / 49.6% R,1.46,11.3,7.5,12,,4:07,163,00:50.5,4:12,177.0,62.0
8,00:50.8,06:42.7,0.2,4:14,,178,179,,,,,,,161,211,50.3% L / 49.7% R,1.45,11.4,7.6,13,,4:07,163,00:50.8,4:14,177.0,62.0
9,00:48.6,07:31.3,0.2,4:03,,178,180,,,,,,,161,210,50.3% L / 49.8% R,1.48,11.3,7.4,12,,4:08,163,0:48,4:00,177.0,62.0
