ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:51.5,00:51.5,0.2,4:18,,159,175,,7.0,,,,,134,202,左 51.5%／右 48.5%,1.46,8.2,7.8,11,,3:52,166,0:47,3:55,175,68
2,00:52.0,01:43.5,0.2,4:20,,181,185,9.0,,,,,,165,203,左 51.2%／右 48.8%,1.47,10.8,7.1,13,,3:53,166,00:52.0,4:20,175,68
3,00:50.4,02:33.9,0.2,4:12,,187,188,,8.0,,,,,162,206,左 50.9%／右 49.1%,1.47,11.1,7.3,12,,4:06,164,0:50,4:10,175,68
4,00:53.2,03:27.1,0.2,4:26,,190,191,9.0,10.0,,,,,162,207,左 50.8%／右 49.2%,1.39,11.2,7.8,13,,4:21,163,0:53,4:25,175,68
5,00:53.0,04:20.1,0.2,4:25,,190,192,6.0,,,,,,161,208,左 51.1%／右 48.9%,1.41,11.2,7.7,13,,4:16,163,00:53.0,4:25,175,68
6,00:54.3,05:14.4,0.2,4:31,,192,193,2.0,7.0,,,,,160,212,左 50.6%／右 49.4%,1.37,11.3,8.1,14,,4:28,162,00:54.3,4:31,175,68
7,00:56.1,06:10.5,0.2,4:40,,193,194,9.0,,,,,,160,214,左 50.3%／右 49.7%,1.36,11.2,8.0,14,,4:33,162,0:56,4:40,175,68
8,00:52.2,07:02.7,0.2,4:21,,195,196,,10.0,,,,,161,212,左 50.0%／右 50.0%,1.39,11.0,7.7,14,,4:12,163,0:52,4:20,175,68
9,00:54.4,07:57.0,0.2,4:32,,194,196,11.0,,,,,,160,215,左 50.2%／右 49.8%,1.4,11.2,7.8,14,,4:14,162,0:54,4:30,175,68
10,00:53.0,08:50.0,0.2,4:25,,197,198,,8.0,,,,,161,217,左 50.5%／右 49.5%,1.4,11.2,7.7,14,,4:18,162,00:53.0,4:25,175,68
11,00:55.5,09:45.5,0.2,4:37,,197,198,7.0,7.0,,,,,160,218,左 50.3%／右 49.7%,1.35,11.4,8.1,15,,4:25,161,00:55.5,4:37,175,68
12,00:54.0,10:39,0.2,4:30,,198,199,,2.0,,,,,161,217,左 50.2%／右 49.8%,1.39,11.0,7.7,14,,4:24,164,0:54,4:30,175,68
13,00:53.2,11:33,0.2,4:26,,199,199,9.0,8.0,,,,,161,217,左 50.3%／右 49.7%,1.35,11.0,7.9,14,,4:19,162,0:53,4:25,175,68
14,00:52.0,12:25,0.2,4:20,,199,200,9.0,,,,,,162,214,左 50.2%／右 49.8%,1.42,10.8,7.4,14,,4:21,164,00:52.0,4:20,175,68
15,00:52.7,13:17,0.2,4:24,,201,202,,10.0,,,,,163,215,左 50.2%／右 49.8%,1.41,10.8,7.5,14,,4:16,164,00:52.7,4:24,175,68
16,00:06.6,13:24,0.02,5:19,,200,200,,,,,,,163,218,左 50.3%／右 49.7%,1.53,10.4,7.1,2,,4:16,164,0:05,4:01,175,68
1,00:52.3,00:52.3,0.2,4:21,,145,164,,6.0,,,,,164,215,左 50.7%／右 49.3%,1.29,10.9,9.7,10,,4:13,169,0:45,3:45,175,68
2,00:52.3,01:44.6,0.2,4:22,,168,175,9.0,,,,,,164,210,左 50.1%／右 49.9%,1.42,11.5,7.8,12,,4:18,166,0:52,4:20,175,68
3,00:50.5,02:35.1,0.2,4:12,,178,182,,8.0,,,,,165,207,左 49.9%／右 50.1%,1.45,11.2,7.5,13,,4:12,167,00:50.5,4:12,175,68
4,00:51.0,03:26.0,0.2,4:15,,183,185,9.0,,,,,,164,208,左 49.5%／右 50.5%,1.44,11.3,7.6,13,,4:12,165,00:51.0,4:15,175,68
5,00:50.8,04:16.8,0.2,4:14,,186,187,,10.0,,,,,164,206,左 49.5%／右 50.5%,1.47,11.3,7.4,13,,4:10,166,00:50.8,4:14,175,68
6,00:51.1,05:07.9,0.2,4:16,,188,189,8.0,,,,,,163,207,左 49.6%／右 50.4%,1.45,11.5,7.7,13,,4:10,164,0:51,4:15,175,68
7,00:50.2,05:58.1,0.2,4:11,,187,188,,8.0,,,,,163,206,左 49.7%／右 50.3%,1.45,11.5,7.7,13,,4:13,164,0:50,4:10,175,68
8,00:51.7,06:49.8,0.2,4:18,,188,189,8.0,,,,,,161,213,左 49.7%／右 50.3%,1.44,11.7,7.8,13,,4:15,163,00:51.7,4:18,175,68
