ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:47.5,00:47.5,0.2,3:58,,135,165,,8.0,,,,,187,171,左 51.1%／右 48.9%,1.29,7.9,9.9,6,,3:42,194,0:44,3:40,163,48
2,00:46.6,01:34.2,0.2,3:53,,175,180,11.0,,,,,,185,179,左 50.3%／右 49.7%,1.42,8.4,5.8,8,,3:48,187,00:46.6,3:53,163,48
3,00:46.9,02:21.1,0.2,3:55,,185,188,,9.0,,,,,184,181,左 49.5%／右 50.5%,1.41,8.5,5.8,8,,3:50,185,00:46.9,3:55,163,48
4,00:49.0,03:10.1,0.2,4:05,,189,190,9.0,5.0,,,,,183,181,左 49.4%／右 50.6%,1.36,8.6,6.0,9,,3:53,185,00:49.0,4:05,163,48
5,00:46.9,03:56.9,0.2,3:54,,191,192,,6.0,,,,,184,181,左 49.7%／右 50.3%,1.37,8.4,5.9,9,,3:55,185,00:46.9,3:54,163,48
6,00:48.6,04:45.5,0.2,4:03,,193,194,7.0,,,,,,183,177,左 49.1%／右 50.9%,1.37,8.6,6.0,9,,3:56,185,0:48,4:00,163,48
7,00:49.6,05:35.1,0.2,4:08,,195,196,8.0,7.0,,,,,182,178,左 49.5%／右 50.5%,1.34,8.6,6.3,9,,4:05,185,00:49.6,4:08,163,48
8,00:47.1,06:22.2,0.2,3:55,,196,196,,9.0,,,,,181,179,左 49.3%／右 50.7%,1.37,8.6,6.0,9,,4:03,183,0:47,3:55,163,48
9,00:49.4,07:11.6,0.2,4:07,,196,197,4.0,,,,,,181,178,左 49.3%／右 50.7%,1.4,8.6,5.9,9,,3:54,183,0:49,4:05,163,48
10,00:48.0,07:59.6,0.2,4:00,,197,197,5.0,7.0,,,,,182,181,左 49.1%／右 50.9%,1.37,8.5,6.0,9,,4:00,183,00:48.0,4:00,163,48
