ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:47.7,00:47.7,0.2,3:59,,140,159,,7.0,,,,,177,205,49.5% L / 50.5% R,1.28,9.4,6.8,11,,3:37,181,00:47.7,3:59,178,74
2,00:49.5,01:37.2,0.2,4:08,,160,164,,,,,,,176,203,49.2% L / 50.8% R,1.42,9.8,6.6,14,,3:37,177,0:48,4:00,178,74
3,00:49.0,02:26.3,0.2,4:05,,167,169,10.0,11.0,,,,,173,203,49.1% L / 50.9% R,1.37,10.2,7.2,14,,3:59,175,0:49,4:05,178,74
4,00:52.2,03:18.5,0.2,4:21,,174,187,9.0,,,,,,169,206,49.3% L / 50.7% R,1.32,10.4,7.7,14,,4:00,172,00:52.2,4:21,178,74
5,00:52.2,04:10.7,0.2,4:21,,189,192,,8.0,,,,,160,206,49.6% L / 50.4% R,1.28,10.4,8.0,15,,4:04,171,0:52,4:20,178,74
6,00:52.5,05:03.3,0.2,4:23,,183,187,10.0,,,,,,161,210,48.8% L / 51.2% R,1.34,10.5,7.7,14,,4:12,170,0:52,4:20,178,74
7,00:53.8,05:57.1,0.2,4:29,,181,185,,8.0,,,,,160,222,49.0% L / 51.0% R,1.26,10.5,8.2,14,,4:27,169,00:53.8,4:29,178,74
8,00:55.3,06:52.4,0.2,4:37,,182,186,,,,,,,159,220,49.3% L / 50.7% R,1.19,10.4,8.5,15,,4:11,169,0:55,4:35,178,74
9,00:56.0,07:48.3,0.2,4:40,,191,196,,,,,,,159,221,49.3% L / 50.8% R,1.34,10.4,8.5,14,,4:33,161,00:56.0,4:40,178,74
10,00:56.9,08:45.3,0.2,4:44,,196,198,7.0,,,,,,161,217,49.2% L / 50.8% R,1.05,10.3,9.7,15,,4:41,171,00:56.9,4:45,178,74
11,00:55.7,09:41.0,0.2,4:39,,196,199,,8.0,,,,,159,262,49.3% L / 50.7% R,1.01,10.4,10.0,15,,4:40,166,00:55.7,4:39,178,74
12,00:55.5,10:37,0.2,4:38,,197,199,8.0,,,,,,160,245,49.3% L / 50.8% R,0.98,10.8,10.3,15,,4:36,166,0:55,4:35,178,74
