ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:49.3,00:49.3,0.2,4:06,,120,143,,8.0,,,,,182,183,左 48.5%／右 51.5%,1.25,7.6,6.5,8,,3:48,191,0:45,3:45,171,58
2,00:49.4,01:38.7,0.2,4:07,,145,147,9.0,,,,,,189,191,左 49.2%／右 50.8%,1.28,7.2,5.4,11,,4:00,191,0:49,4:05,171,58
3,00:52.0,02:30.7,0.2,4:20,,149,155,,10.0,,,,,185,196,左 49.8%／右 50.2%,1.26,7.5,5.7,13,,4:10,187,00:52.0,4:20,171,58
4,00:53.4,03:24.1,0.2,4:27,,158,162,11.0,,,,,,184,202,左 49.0%／右 51.0%,1.24,7.4,5.7,12,,4:16,186,00:53.4,4:27,171,58
5,00:54.0,04:18.1,0.2,4:30,,160,165,,12.0,,,,,184,203,左 49.5%／右 50.5%,1.22,7.5,5.9,12,,4:25,188,0:54,4:30,171,58
6,00:51.8,05:09.9,0.2,4:19,,168,170,13.0,4.0,,,,,182,206,左 49.0%／右 51.0%,1.24,7.5,5.8,11,,4:26,186,00:51.8,4:19,171,58
7,00:54.4,06:04.3,0.2,4:32,,170,174,,8.0,,,,,182,205,左 49.3%／右 50.7%,1.23,7.6,5.9,12,,4:27,184,0:54,4:30,171,58
8,00:54.7,06:59.0,0.2,4:33,,160,164,9.0,8.0,,,,,182,206,左 49.3%／右 50.7%,1.22,7.5,5.9,12,,4:29,184,00:54.7,4:33,171,58
9,00:55.7,07:54.7,0.2,4:38,,163,165,7.0,2.0,,,,,183,205,左 49.3%／右 50.7%,1.17,7.6,6.3,11,,4:35,185,0:55,4:35,171,58
10,00:57.2,08:51.9,0.2,4:46,,159,164,4.0,10.0,,,,,180,206,左 49.3%／右 50.7%,1.17,8.0,6.6,12,,4:39,183,00:57.2,4:46,171,58
