ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:57.0,00:57.0,0.2,4:45,,126,164,,8.0,,,,,174,193,左 48.9%／右 51.1%,1.18,9.1,7.2,8,,4:10,205,0:51,4:15,172,55
2,00:52.0,01:48.9,0.2,4:20,,171,174,9.0,,,,,,175,184,左 49.1%／右 50.9%,1.29,9.4,7.0,11,,4:23,177,00:52.0,4:20,172,55
3,00:54.9,02:43.9,0.2,4:35,,181,185,,8.0,,,,,175,190,左 48.9%／右 51.1%,1.25,9.4,7.2,12,,4:26,176,00:54.9,4:35,172,55
4,01:00.0,03:43.9,0.2,5:00,,185,186,9.0,5.0,,,,,173,199,左 48.8%／右 51.2%,1.18,9.5,7.8,13,,4:34,175,1:00,5:00,172,55
5,01:03.5,04:47.4,0.2,5:18,,183,186,,5.0,,,,,173,210,左 49.8%／右 50.2%,1.1,9.2,8.1,13,,5:05,175,01:03.5,5:18,172,55
6,01:04.3,05:51.7,0.2,5:22,,182,188,11.0,4.0,,,,,174,213,左 50.4%／右 49.6%,1.07,9.0,8.3,13,,5:16,176,1:04,5:20,172,55
7,01:05.5,06:57.2,0.2,5:28,,179,181,8.0,7.0,,,,,174,213,左 49.9%／右 50.1%,1.06,9.1,8.4,13,,5:19,176,01:05.5,5:28,172,55
8,01:08.2,08:05.4,0.2,5:41,,179,182,,8.0,,,,,174,220,左 49.9%／右 50.1%,1.03,9.0,8.5,14,,5:29,176,1:08,5:40,172,55
9,01:06.7,09:12.1,0.2,5:33,,177,178,11.0,,,,,,173,225,左 50.2%／右 49.8%,1.04,9.0,8.4,12,,5:31,175,01:06.7,5:33,172,55
10,01:13.1,10:25,0.2,6:05,,174,178,,11.0,,,,,171,244,左 49.7%／右 50.3%,0.99,8.9,8.7,14,,5:39,173,1:13,6:05,172,55
11,01:06.7,11:32,0.2,5:34,,169,171,12.0,,,,,,171,234,左 49.8%／右 50.2%,1.01,9.0,8.7,12,,5:39,174,1:06,5:30,172,55
12,01:12.0,12:44,0.2,6:00,,175,177,,11.0,,,,,172,237,左 49.8%／右 50.2%,0.99,8.9,8.8,13,,5:41,175,1:12,6:00,172,55
13,01:14.6,13:59,0.2,6:13,,169,174,7.0,,,,,,173,240,左 49.9%／右 50.1%,0.92,8.9,9.4,13,,6:15,174,01:14.6,6:13,172,55
14,01:07.4,15:06,0.2,5:37,,169,172,3.0,11.0,,,,,173,222,左 50.0%／右 50.0%,1.0,9.3,9.1,12,,5:34,177,1:07,5:35,172,55
15,01:04.9,16:11,0.2,5:23,,175,181,8.0,,,,,,172,214,左 49.9%／右 50.1%,1.12,9.7,8.4,13,,4:52,175,1:04,5:18,172,55
1,00:56.4,00:56.4,0.2,4:42,,109,127,,7.0,,,,,180,192,左 51.4%／右 48.6%,1.22,8.5,6.4,7,,4:12,190,0:52,4:20,172,55
2,00:53.7,01:50.1,0.2,4:28,,138,143,9.0,,,,,,182,189,左 48.8%／右 51.2%,1.23,8.7,6.8,12,,4:31,184,00:53.7,4:28,172,55
3,00:57.0,02:47.1,0.2,4:45,,147,153,,8.0,,,,,178,197,左 48.5%／右 51.5%,1.2,9.0,7.3,12,,4:31,181,00:57.0,4:45,172,55
4,00:55.6,03:42.7,0.2,4:38,,154,156,9.0,,,,,,178,198,左 48.2%／右 51.8%,1.19,9.1,7.4,12,,4:41,179,0:55,4:35,172,55
5,00:59.4,04:42.1,0.2,4:57,,154,159,,9.0,,,,,177,202,左 48.1%／右 51.9%,1.17,9.2,7.6,11,,4:43,179,00:59.4,4:57,172,55
6,01:00.4,05:42.5,0.2,5:02,,154,157,9.0,8.0,,,,,177,205,左 47.9%／右 52.1%,1.15,9.2,7.7,13,,4:52,178,1:00,5:00,172,55
7,01:00.4,06:42.8,0.2,5:02,,163,168,6.0,3.0,,,,,176,207,左 48.5%／右 51.5%,1.14,9.0,7.7,12,,4:56,177,01:00.4,5:02,172,55
8,00:58.0,07:40.8,0.2,4:50,,159,163,7.0,12.0,,,,,175,206,左 48.2%／右 51.8%,1.18,9.2,7.6,11,,4:50,177,00:58.0,4:50,172,55
9,01:00.5,08:41.3,0.2,5:03,,157,161,8.0,,,,,,176,207,左 48.5%／右 51.5%,1.15,9.2,7.8,13,,4:54,177,1:00,5:00,172,55
10,01:00.9,09:42.2,0.2,5:05,,159,163,,8.0,,,,,176,206,左 48.6%／右 51.4%,1.14,9.1,7.8,12,,4:59,178,01:00.9,5:05,172,55
11,00:59.3,10:42,0.2,4:56,,163,166,9.0,,,,,,175,207,左 48.5%／右 51.5%,1.15,9.4,8.0,12,,4:58,177,0:59,4:55,172,55
12,01:02.8,11:44,0.2,5:14,,162,167,,8.0,,,,,173,209,左 48.3%／右 51.7%,1.13,9.5,8.1,12,,4:52,176,01:02.8,5:14,172,55
13,00:58.6,12:43,0.2,4:53,,175,189,9.0,,,,,,174,210,左 48.3%／右 51.7%,1.13,9.6,8.3,12,,5:07,175,00:58.6,4:53,172,55
14,01:00.1,13:43,0.2,5:00,,192,194,,11.0,,,,,172,209,左 48.1%／右 51.9%,1.17,9.8,8.2,13,,4:56,175,1:00,5:00,172,55
15,00:45.6,14:29,0.2,3:48,,199,202,9.0,,,,,,181,185,左 48.4%／右 51.6%,1.43,8.7,6.0,11,,3:22,184,0:45,3:45,172,55
16,00:01.5,14:30,0.01,2:55,,201,201,,,,,,,182,187,左 48.7%／右 51.3%,1.46,8.4,5.5,1,,4:01,182,0:01,1:58,172,55
1,01:08.5,01:08.5,0.2,5:43,,109,135,,,,,,,161,247,左 47.8%／右 52.2%,1.18,10.2,8.9,6,,4:17,164,1:04,5:20,172,55
2,01:07.3,02:15.8,0.2,5:37,,141,145,9.0,,,,,,162,254,左 48.2%／右 51.8%,1.14,10.3,8.8,10,,4:27,164,01:07.3,5:37,172,55
3,01:10.8,03:26.6,0.2,5:54,,143,145,,,,,,,163,259,左 48.0%／右 52.0%,1.05,9.7,9.0,10,,4:35,164,01:10.8,5:54,172,55
4,01:10.8,04:37.5,0.2,5:54,,147,150,,,,,,,165,257,左 48.6%／右 51.4%,1.02,9.4,9.0,10,,4:29,167,01:10.8,5:54,172,55
5,01:11.1,05:48.6,0.2,5:55,,147,151,,,,,,,166,256,左 48.9%／右 51.1%,1.03,9.3,8.8,10,,5:40,167,1:11,5:55,172,55
6,01:11.5,07:00.0,0.2,5:57,,147,149,,,,,,,164,259,左 48.8%／右 51.2%,1.02,9.2,8.8,10,,5:27,167,1:11,5:55,172,55
7,01:09.9,08:09.9,0.2,5:49,,149,153,,,,,,,167,264,左 48.4%／右 51.6%,1.03,8.7,8.2,10,,5:35,169,01:09.9,5:49,172,55
8,01:10.1,09:20.0,0.2,5:50,,152,154,,,,,,,167,265,左 48.9%／右 51.1%,1.03,8.6,8.1,10,,5:38,169,1:10,5:50,172,55
9,01:10.9,10:31,0.2,5:54,,148,154,,,,,,,166,269,左 48.5%／右 51.5%,1.02,8.7,8.3,10,,5:42,167,01:10.9,5:54,172,55
10,01:10.7,11:41,0.2,5:53,,145,150,,,,,,,166,270,左 49.0%／右 51.0%,1.03,8.6,8.2,10,,5:39,167,01:10.7,5:53,172,55
11,01:11.2,12:53,0.2,5:56,,152,156,,,,,,,166,265,左 48.9%／右 51.1%,1.02,8.9,8.5,10,,5:40,168,1:11,5:55,172,55
12,01:11.3,14:04,0.2,5:57,,149,153,,,,,,,166,264,左 48.9%／右 51.1%,1.02,9.0,8.6,10,,5:20,167,1:11,5:55,172,55
13,01:09.8,15:14,0.2,5:49,,147,151,,,,,,,165,272,左 49.2%／右 50.8%,1.04,8.6,8.1,10,,4:29,167,01:09.8,5:49,172,55
14,01:10.4,16:24,0.2,5:52,,149,152,,,,,,,166,263,左 49.3%／右 50.7%,1.04,8.9,8.4,10,,5:17,168,01:10.4,5:52,172,55
15,01:08.2,17:32,0.2,5:41,,155,159,,,,,,,166,251,左 49.2%／右 50.8%,1.06,9.2,8.5,10,,4:31,169,1:08,5:40,172,55
