ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:39.2,00:39.2,0.2,3:16,,103,128,,8,,,,,105,171,左 60.0%／右 40.0%,1.18,7,5.6,3,,2:53,188,0:36,3:00,168,59
2,00:41.6,01:20.9,0.2,3:28,,137,145,11,,,,,,86,193,左 52.5%／右 47.5%,1.61,9.8,5.5,9,,3:15,199,00:41.6,3:28,168,59
3,00:38.7,01:59.6,0.2,3:14,,151,157,,12,,,,,167,179,左 50.9%／右 49.1%,1.79,11.6,6.2,9,,3:18,186,00:38.7,3:14,168,59
4,00:41.0,02:40.6,0.2,3:25,,157,160,8,,,,,,169,177,左 61.4%／右 38.6%,1.72,11.1,5.9,10,,3:16,186,0:41,3:25,168,59
5,00:39.7,03:20.4,0.2,3:19,,163,168,,6,,,,,173,178,左 58.5%／右 41.5%,1.77,11.4,6.1,9,,3:18,186,00:39.7,3:19,168,59
6,00:41.5,04:01.9,0.2,3:27,,171,175,10,,,,,,178,178,左 50.6%／右 49.4%,1.65,10.5,6,10,,3:27,190,0:41,3:25,168,59
7,00:37.5,04:39.3,0.2,3:07,,165,170,,9,,,,,169,179,左 52.1%／右 47.9%,1.74,11,5.7,9,,3:19,186,0:37,3:05,168,59
8,00:38.9,05:18.3,0.2,3:15,,164,169,9,,,,,,172,175,左 65.2%／右 34.8%,1.74,10.3,5.6,10,,3:14,183,00:38.9,3:15,168,59
9,00:38.9,05:57.2,0.2,3:14,,169,172,,10,,,,,166,177,左 55.1%／右 44.9%,1.84,10.2,5.5,9,,3:17,188,00:38.9,3:14,168,59
10,00:40.2,06:37.4,0.2,3:21,,173,175,9,,,,,,179,180,左 59.5%／右 40.5%,1.66,9,5.3,10,,3:00,188,00:40.2,3:21,168,59
11,00:40.2,07:17.6,0.2,3:21,,176,179,,9,,,,,178,179,左 58.6%／右 41.4%,1.69,9.8,5.4,10,,3:07,188,0:40,3:20,168,59
12,00:39.9,07:57.5,0.2,3:20,,173,176,10,8,,,,,179,179,左 55.9%／右 44.1%,1.78,9.6,5.2,9,,3:00,192,00:39.9,3:20,168,59
13,00:41.1,08:38.6,0.2,3:25,,172,176,7,4,,,,,171,175,左 47.9%／右 52.1%,1.9,11.8,5.9,10,,2:49,193,0:41,3:25,168,59
14,00:40.1,09:18.6,0.2,3:20,,175,177,3,8,,,,,177,178,左 49.9%／右 50.1%,1.68,10.2,5.8,10,,2:49,190,0:40,3:20,168,59
15,00:37.1,09:55.7,0.2,3:05,,170,173,,,,,,,188,170,左 59.9%／右 40.1%,1.68,7.9,4.5,8,,2:31,190,0:37,3:05,168,59
16,00:00.9,09:56.6,0.01,1:34,,169,169,,,,,,,187,171,左 58.9%／右 41.1%,1.86,8.1,4.2,0,,2:48,187,00:00.9,1:34,168,59
