ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:52.1,00:52.1,0.2,4:20,,123,137,,8,,,,,167,226,左 49.6%／右 50.4%,1.24,9.2,6.6,9,,4:07,182,0:49,4:05,178,63
2,00:50.2,01:42.3,0.2,4:11,,145,154,9,,,,,,179,221,左 50.3%／右 49.7%,1.36,9.2,6.6,10,,4:06,181,0:50,4:10,178,63
3,00:52.1,02:34.4,0.2,4:21,,157,160,,8,,,,,176,221,左 50.2%／右 49.8%,1.33,9.5,6.9,13,,4:11,177,0:52,4:20,178,63
4,00:55.2,03:29.6,0.2,4:36,,155,160,10,3,,,,,174,233,左 50.9%／右 49.1%,1.26,9.6,7.4,11,,4:18,176,00:55.2,4:36,178,63
5,00:53.7,04:23.3,0.2,4:28,,153,155,,8,,,,,175,224,左 50.2%／右 49.8%,1.28,9.5,7.2,13,,4:28,176,0:53,4:25,178,63
6,00:55.0,05:18.2,0.2,4:35,,153,156,9,7,,,,,172,239,左 50.7%／右 49.3%,1.25,9.8,7.6,11,,4:33,174,00:55.0,4:35,178,63
7,00:56.8,06:15.0,0.2,4:44,,153,157,7,3,,,,,172,241,左 50.6%／右 49.4%,1.25,9.6,7.5,13,,4:36,174,00:56.8,4:44,178,63
8,00:56.2,07:11.2,0.2,4:41,,150,152,1,7,,,,,172,241,左 50.7%／右 49.3%,1.2,9.8,7.9,12,,4:46,174,0:56,4:40,178,63
9,00:58.8,08:10.1,0.2,4:54,,148,151,8,,,,,,171,245,左 50.9%／右 49.1%,1.22,9.8,7.7,13,,4:45,173,00:58.8,4:54,178,63
10,01:00.7,09:10.7,0.2,5:03,,153,157,,8,,,,,171,250,左 50.3%／右 49.7%,1.15,10,8.4,12,,4:55,172,01:00.7,5:03,178,63
11,01:02.0,10:13,0.2,5:10,,154,157,9,,,,,,170,251,左 50.6%／右 49.4%,1.16,10,8.4,13,,4:59,172,01:02.0,5:10,178,63
12,01:00.7,11:13,0.2,5:03,,153,158,,9,,,,,170,251,左 50.8%／右 49.2%,1.17,10,8.3,13,,4:58,174,1:00,5:00,178,63
13,01:05.9,12:19,0.2,5:30,,149,152,10,,,,,,170,252,左 50.7%／右 49.3%,1.09,10.1,9,13,,5:05,171,01:05.9,5:30,178,63
14,01:00.6,13:20,0.2,5:03,,152,156,,11,,,,,169,254,左 50.8%／右 49.2%,1.15,10.1,8.5,11,,5:12,171,01:00.6,5:03,178,63
15,01:03.0,14:23,0.2,5:15,,145,151,12,9,,,,,170,256,左 50.7%／右 49.3%,1.12,10,8.7,12,,5:05,173,01:03.0,5:15,178,63
16,00:02.3,14:25,0.01,3:43,,143,145,,,,,,,173,247,左 50.9%／右 49.1%,1.15,9.9,8.5,0,,5:03,173,0:01,1:39,178,63
