ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,01:03.6,01:03.6,0.2,5:18,,128,144,13,,,,,,162,245,左 49.4%／右 50.6%,1.09,10.7,9.7,9,,5:17,171,01:03.6,5:18,170,57
2,00:57.3,02:00.9,0.2,4:46,,145,147,6,14,,,,,163,242,左 49.5%／右 50.5%,1.16,10.8,9.1,10,,5:15,165,0:57,4:45,170,57
3,01:01.3,03:02.2,0.2,5:06,,146,148,13,5,,,,,161,242,左 49.6%／右 50.4%,1.19,10.9,9,10,,4:58,164,1:01,5:05,170,57
4,01:01.7,04:03.9,0.2,5:09,,145,148,4,13,,,,,161,242,左 49.7%／右 50.3%,1.14,11,9.5,11,,5:00,165,01:01.7,5:09,170,57
5,01:00.7,05:04.6,0.2,5:03,,143,145,13,4,,,,,161,244,左 49.5%／右 50.5%,1.2,11.1,9,10,,4:59,162,01:00.7,5:04,170,57
6,01:00.7,06:05.3,0.2,5:03,,146,150,4,13,,,,,160,240,左 49.2%／右 50.8%,1.17,11.2,9.3,10,,5:01,162,1:00,5:00,170,57
7,01:02.8,07:08.0,0.2,5:14,,147,150,13,4,,,,,161,244,左 49.5%／右 50.5%,1.16,10.9,9.1,9,,5:03,163,01:02.8,5:14,170,57
8,00:58.9,08:07.0,0.2,4:55,,146,149,5,14,,,,,161,243,左 49.5%／右 50.5%,1.16,10.9,9.2,10,,5:04,163,00:58.9,4:55,170,57
9,01:00.0,09:07.0,0.2,5:00,,148,151,12,5,,,,,162,240,左 49.6%／右 50.4%,1.18,10.8,8.9,10,,4:51,164,01:00.0,5:00,170,57
10,01:00.6,10:08,0.2,5:03,,146,148,,7,,,,,161,244,左 49.6%／右 50.4%,1.14,10.9,9.3,10,,4:59,163,1:00,5:00,170,57
11,00:57.2,11:05,0.2,4:46,,149,150,2,5,,,,,161,238,左 49.7%／右 50.3%,1.2,11,8.9,10,,4:46,162,00:57.2,4:46,170,57
12,00:59.4,12:04,0.2,4:57,,150,151,8,6,,,,,162,245,左 49.2%／右 50.8%,1.19,10.8,8.9,10,,4:53,164,0:59,4:55,170,57
13,01:01.5,13:06,0.2,5:08,,149,150,6,2,,,,,161,245,左 48.9%／右 51.1%,1.2,10.9,8.8,10,,4:54,163,1:01,5:05,170,57
14,00:57.6,14:03,0.2,4:48,,150,151,5,7,,,,,161,243,左 49.2%／右 50.8%,1.19,11,9,10,,4:53,164,00:57.6,4:48,170,57
15,00:58.6,15:02,0.2,4:51,,149,152,4,4,,,,,161,244,左 49.4%／右 50.6%,1.23,10.9,8.5,9,,4:52,163,0:58,4:48,170,57
16,00:02.3,15:30,0.01,3:21,,160,160,,,,,,,160,242,左 50.3%／右 49.7%,1.29,10.8,8.1,1,,4:55,160,0:02,2:58,170,57
