ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:47.7,00:47.7,0.2,3:59,,134,156,,8,,,,,173,206,左 47.3%／右 52.7%,1.28,10.5,11.6,7,,3:58,177,0:44,3:40,170,57
2,00:45.3,01:33.0,0.2,3:46,,162,167,7,,,,,,173,196,左 49.8%／右 50.2%,1.54,10.6,6.7,9,,3:43,175,00:45.3,3:46,170,57
3,00:41.2,02:14.1,0.2,3:26,,169,170,,7,,,,,173,194,左 49.5%／右 50.5%,1.62,10.5,6.2,8,,3:25,174,0:41,3:25,170,57
4,00:45.1,02:59.2,0.2,3:45,,171,173,8,,,,,,174,195,左 49.2%／右 50.8%,1.56,10.3,6.3,9,,3:25,176,0:45,3:45,170,57
5,00:43.5,03:42.8,0.2,3:38,,172,173,,9,,,,,173,197,左 49.2%／右 50.8%,1.6,10.2,6.1,9,,3:34,175,0:43,3:35,170,57
6,00:44.8,04:27.6,0.2,3:44,,175,177,11,,,,,,173,196,左 49.1%／右 50.9%,1.57,10.1,6.2,10,,3:36,174,00:44.8,3:44,170,57
7,00:43.2,05:10.8,0.2,3:36,,176,178,,10,,,,,174,196,左 49.2%／右 50.8%,1.58,10,6.1,9,,3:38,175,0:43,3:35,170,57
8,00:44.0,05:54.8,0.2,3:40,,179,181,10,,,,,,175,196,左 49.3%／右 50.7%,1.57,10,6.1,9,,3:38,176,0:44,3:40,170,57
9,00:43.0,06:37.8,0.2,3:35,,180,181,,11,,,,,174,196,左 48.9%／右 51.1%,1.6,10,6,9,,3:32,175,0:43,3:35,170,57
10,00:44.4,07:22.3,0.2,3:42,,182,182,8,,,,,,174,193,左 48.9%／右 51.1%,1.58,10,6.1,10,,3:35,175,00:44.4,3:42,170,57
11,00:42.1,08:04.4,0.2,3:31,,183,184,,8,,,,,174,196,左 49.1%／右 50.9%,1.62,9.9,5.8,9,,3:30,176,0:42,3:30,170,57
12,00:44.4,08:48.8,0.2,3:42,,183,185,8,,,,,,174,193,左 48.7%／右 51.3%,1.56,9.9,6.1,9,,3:36,175,0:44,3:40,170,57
13,00:41.9,09:30.6,0.2,3:29,,184,185,,9,,,,,175,193,左 48.9%／右 51.1%,1.61,9.7,5.8,9,,3:30,177,00:41.9,3:29,170,57
14,00:41.3,10:12,0.2,3:27,,184,185,10,,,,,,176,191,左 48.6%／右 51.4%,1.61,9.5,5.7,9,,3:29,176,00:41.3,3:27,170,57
15,00:41.2,10:53,0.2,3:26,,185,187,,9,,,,,175,196,左 48.4%／右 51.6%,1.67,9.4,5.4,9,,3:24,177,0:41,3:25,170,57
16,00:00.8,10:54,0.01,1:49,,185,185,,,,,,,175,197,左 48.5%／右 51.5%,1.69,9.4,5.3,0,,3:25,175,00:00.8,1:49,170,57
