ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,01:12.1,01:12.1,0.2,6:00,,132,143,,,,,,,173,209,左 49.7%／右 50.3%,0.97,9,7.5,7,,5:12,178,1:08,5:40,170,65
2,01:02.6,02:14.7,0.2,5:13,,162,169,,,,,,,180,206,左 50.1%／右 49.9%,1.07,8.3,7.6,8,,4:52,182,01:02.6,5:13,170,65
3,01:00.8,03:15.4,0.2,5:04,,172,177,,,,,,,181,210,左 50.4%／右 49.6%,1.09,8.3,7.4,10,,4:42,185,1:00,5:00,170,65
4,01:07.4,04:22.8,0.2,5:37,,179,183,3,23,,,,,185,207,左 50.5%／右 49.5%,1.07,7.8,7,12,,4:50,188,01:07.4,5:37,170,65
5,01:01.6,05:24.4,0.2,5:08,,183,185,,,,,,,185,210,左 50.2%／右 49.8%,1.06,7.8,7.1,11,,4:54,188,1:01,5:05,170,65
6,01:01.1,06:25.6,0.2,5:06,,184,186,,,,,,,184,211,左 49.9%／右 50.1%,1.07,7.5,6.8,11,,4:50,186,1:01,5:05,170,65
7,01:01.4,07:26.9,0.2,5:07,,181,186,,,,,,,184,212,左 49.7%／右 50.3%,1.06,7.5,6.8,11,,4:52,186,01:01.4,5:07,170,65
8,01:01.4,08:28.3,0.2,5:07,,168,171,,,,,,,184,213,左 49.9%／右 50.1%,1.07,7.5,6.7,11,,4:50,185,1:01,5:05,170,65
9,01:02.1,09:30.4,0.2,5:10,,175,185,,,,,,,184,214,左 50.0%／右 50.0%,1.06,7.4,6.8,11,,4:54,187,1:02,5:10,170,65
10,01:04.5,10:35,0.2,5:23,,186,187,,,,,,,182,220,左 49.9%／右 50.1%,1.03,7.5,7.1,12,,4:54,183,01:04.5,5:23,170,65
11,01:05.1,11:40,0.2,5:26,,186,188,,,,,,,181,222,左 49.7%／右 50.3%,1.02,7.5,7.1,12,,5:06,184,1:05,5:25,170,65
12,01:05.8,12:46,0.2,5:29,,186,187,,,,,,,178,227,左 49.6%／右 50.4%,1.03,7.6,7.2,12,,4:57,181,01:05.8,5:29,170,65
13,00:34.9,13:21,0.2,2:54,,186,186,15,,,,,,177,232,左 49.3%／右 50.7%,1.03,8,7.6,6,,5:01,179,00:34.9,2:54,170,65
14,01:06.5,14:27,0.2,5:33,,185,186,8,4,,,,,178,229,左 49.6%／右 50.4%,1.13,7.8,6.7,12,,4:48,181,1:06,5:30,170,65
15,01:00.6,15:28,0.2,5:03,,185,188,,,,,,,181,221,左 50.1%／右 49.9%,1.1,7.8,6.8,10,,4:47,184,01:00.6,5:03,170,65
16,00:06.0,15:34,0.02,6:12,,186,187,,,,,,,168,241,左 50.1%／右 49.9%,1.06,7.9,7.2,1,,5:23,176,0:05,5:08,170,65
