ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:57.1,00:57.1,0.2,4:45,,166,182,,7,,,,,170,183,左 48.0%／右 52.0%,1.08,9.6,10.3,10,,4:12,186,0:53,4:25,168,56
2,01:00.1,01:57.1,0.2,5:00,,185,192,11,3,,,,,177,200,左 49.1%／右 50.9%,1.09,9.8,8.8,11,,4:35,178,1:00,5:00,168,56
3,01:00.5,02:57.7,0.2,5:03,,191,193,,8,,,,,177,198,左 48.8%／右 51.2%,1.08,9.7,8.7,12,,4:59,179,01:00.5,5:03,168,56
4,00:59.5,03:57.2,0.2,4:57,,192,193,9,,,,,,177,199,左 49.2%／右 50.8%,1.11,9.7,8.5,12,,5:05,178,0:59,4:55,168,56
5,01:00.0,04:57.1,0.2,5:00,,193,195,,10,,,,,176,198,左 49.3%／右 50.8%,1.13,9.5,8.3,12,,5:02,178,01:00.0,5:00,168,56
6,00:59.7,05:56.9,0.2,4:59,,195,196,11,5,,,,,177,197,左 49.3%／右 50.7%,1.12,9.4,8.2,12,,5:02,178,00:59.7,4:59,168,56
7,01:01.6,06:58.4,0.2,5:08,,197,198,4,6,,,,,178,200,左 49.0%／右 51.0%,1.12,9.4,8.1,13,,4:59,179,01:01.6,5:08,168,56
8,01:01.6,08:00.1,0.2,5:08,,199,199,7,10,,,,,177,202,左 49.1%／右 50.9%,1.09,9.4,8.3,13,,5:04,179,1:01,5:05,168,56
9,01:02.7,09:02.8,0.2,5:14,,199,199,6,,,,,,178,201,左 49.3%／右 50.7%,1.09,9.3,8.3,13,,5:09,179,01:02.7,5:14,168,56
10,01:02.9,10:06,0.2,5:14,,200,200,5,10,,,,,178,200,左 48.8%／右 51.2%,1.07,9.4,8.5,13,,5:11,180,01:02.9,5:14,168,56
11,01:03.2,11:09,0.2,5:16,,200,201,9,,,,,,178,208,左 49.0%／右 51.0%,1.07,9.3,8.5,13,,5:16,181,1:03,5:15,168,56
12,01:05.0,12:14,0.2,5:25,,201,202,,11,,,,,177,212,左 50.3%／右 49.7%,1.04,9.4,8.8,14,,5:17,180,1:05,5:25,168,56
13,01:07.7,13:22,0.2,5:39,,202,203,11,,,,,,176,220,左 50.9%／右 49.1%,1.02,9.5,9,15,,5:26,180,01:07.7,5:39,168,56
14,01:11.2,14:33,0.2,5:56,,202,202,,10,,,,,175,225,左 50.4%／右 49.6%,0.98,9.4,9.4,15,,5:25,177,1:11,5:55,168,56
15,01:18.0,15:51,0.2,6:30,,200,202,11,,,,,,172,241,左 50.2%／右 49.8%,0.9,9.5,10.3,17,,6:12,175,1:18,6:30,168,56
16,01:03.8,16:55,0.14,7:32,,198,199,,10,,,,,145,229,左 50.1%／右 49.9%,0.93,9.6,10.2,14,,5:55,176,0:55,6:30,168,56
