ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:52.9,00:52.9,0.2,4:25,,155,175,,8,,,,,172,235,左 50.3%／右 49.7%,1.2,10.8,7.8,11,,4:07,178,0:50,4:10,173,48
2,00:57.6,01:50.5,0.2,4:48,,182,189,11,,,,,,174,245,左 50.0%／右 50.0%,1.26,11.4,8.7,15,,4:07,179,00:57.6,4:48,173,48
3,01:02.4,02:52.9,0.2,5:12,,185,189,,10,,,,,171,239,左 49.8%／右 50.2%,1.15,11.9,10,14,,4:47,173,1:02,5:10,173,48
4,00:58.3,03:51.2,0.2,4:51,,184,186,9,,,,,,172,243,左 50.0%／右 50.0%,1.15,11.7,10,12,,5:06,174,0:58,4:50,173,48
5,01:00.6,04:51.8,0.2,5:03,,185,187,,9,,,,,173,243,左 50.0%／右 50.0%,1.2,11.6,9.4,14,,4:24,178,01:00.6,5:03,173,48
6,00:59.9,05:51.8,0.2,5:00,,186,188,9,,,,,,173,248,左 49.8%／右 50.2%,1.12,11.6,10.1,13,,5:10,178,00:59.9,5:00,173,48
7,00:58.4,06:50.2,0.2,4:52,,186,189,,8,,,,,175,240,左 50.0%／右 50.0%,1.21,11.4,9.2,14,,4:27,178,0:58,4:50,173,48
8,01:04.2,07:54.4,0.2,5:21,,182,185,9,5,,,,,172,251,左 49.6%／右 50.4%,1.09,11.6,10.4,14,,5:04,176,01:04.2,5:21,173,48
9,01:05.3,08:59.8,0.2,5:27,,182,185,4,6,,,,,173,253,左 49.7%／右 50.3%,1.07,11.4,10.4,14,,5:17,174,1:05,5:25,173,48
10,01:06.1,10:06,0.2,5:31,,180,183,7,10,,,,,172,252,左 49.6%／右 50.4%,1.05,11.6,10.9,14,,5:32,176,1:06,5:30,173,48
11,01:07.8,11:14,0.2,5:39,,175,179,9,,,,,,172,250,左 50.0%／右 50.0%,1.01,11.7,11.4,14,,5:27,174,01:07.8,5:39,173,48
12,01:01.5,12:15,0.2,5:07,,181,186,,8,,,,,172,238,左 49.8%／右 50.2%,1.15,11.9,10.2,14,,4:54,174,1:01,5:05,173,48
13,01:06.3,13:21,0.2,5:31,,183,188,11,3,,,,,171,250,左 49.8%／右 50.2%,1.08,11.8,10.6,15,,5:14,173,01:06.3,5:31,173,48
14,01:04.0,14:25,0.2,5:20,,183,186,,10,,,,,171,244,左 49.8%／右 50.2%,1.1,12,10.7,14,,5:24,173,1:04,5:20,173,48
15,01:02.4,15:28,0.2,5:12,,184,186,10,,,,,,173,248,左 49.7%／右 50.3%,1.09,11.5,10.4,13,,5:21,177,1:02,5:10,173,48
16,00:09.9,15:38,0.01,24:53:00,,185,186,,,,,,,125,260,左 49.8%／右 50.3%,1.18,6.5,7.4,2,,5:22,178,0:07,17:33,173,48
