ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:54.8,00:54.8,0.2,4:34,,145,162,,7,,,,,169,209,49.5% L / 50.5% R,1.6,9.8,5.3,9,,3:30,174,00:54.8,4:34,177,62
2,00:51.1,01:45.9,0.2,4:16,,162,166,13,10,,,,,166,213,49.3% L / 50.7% R,1.41,10.4,7.1,12,,3:50,168,0:51,4:15,177,62
3,00:51.5,02:37.4,0.2,4:17,,152,156,,,,,,,164,216,49.4% L / 50.6% R,1.41,10.6,7.3,12,,4:21,166,00:51.5,4:17,177,62
4,00:56.5,03:33.9,0.2,4:43,,168,176,6,,,,,,162,221,49.3% L / 50.7% R,1.33,10.9,7.9,13,,4:23,163,00:56.5,4:43,177,62
5,00:56.0,04:29.9,0.2,4:40,,175,176,12,9,,,,,162,223,49.3% L / 50.8% R,1.31,10.9,8.1,12,,4:27,163,0:56,4:40,177,62
6,00:56.4,05:26.4,0.2,4:42,,175,176,,11,,,,,161,224,49.3% L / 50.7% R,1.29,11.1,8.4,12,,4:35,163,00:56.4,4:42,177,62
7,00:57.8,06:24.2,0.2,4:49,,175,176,10,,,,,,161,230,49.1% L / 50.9% R,1.27,11,8.4,12,,4:40,162,0:57,4:45,177,62
8,01:01.4,07:25.6,0.2,5:07,,173,174,,9,,,,,161,236,48.8% L / 51.2% R,1.19,11,9.1,13,,5:02,163,1:01,5:05,177,62
9,00:56.4,08:22.0,0.2,4:42,,175,176,9,,,,,,161,227,49.2% L / 50.8% R,1.3,11,8.2,12,,4:25,164,00:56.4,4:42,177,62
10,00:58.4,09:20.4,0.2,4:52,,176,178,,9,,,,,164,227,49.1% L / 50.9% R,1.28,10.5,8,12,,4:44,167,0:58,4:50,177,62
11,01:03.4,10:24,0.2,5:17,,175,177,11,,,,,,160,238,48.3% L / 51.7% R,1.16,11.1,9.3,13,,4:53,163,1:03,5:15,177,62
12,01:02.9,11:27,0.2,5:14,,175,177,,10,,,,,163,234,48.6% L / 51.4% R,1.18,10.7,8.8,13,,5:11,166,01:02.9,5:14,177,62
13,01:02.5,12:29,0.2,5:12,,175,176,11,,,,,,161,241,48.5% L / 51.5% R,1.15,10.9,9.2,13,,5:15,163,01:02.5,5:13,177,62
14,01:00.4,13:30,0.2,5:02,,177,177,,11,,,,,163,237,48.9% L / 51.1% R,1.21,10.5,8.5,13,,4:38,166,1:00,5:00,177,62
15,00:59.5,14:29,0.2,4:57,,175,177,9,,,,,,162,237,48.8% L / 51.2% R,1.19,10.7,8.8,12,,4:38,163,00:59.5,4:57,177,62
