ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:47.7,00:47.7,0.2,3:58,,100,127,,8,,,,,157,212,50.6% L / 49.4% R,1.36,11.9,11.3,5,,3:50,161,00:47.7,3:58,177,55
2,00:48.5,01:36.1,0.2,4:02,,144,149,6,,,,,,158,222,50.5% L / 49.5% R,1.5,11.8,7.6,9,,4:03,159,00:48.5,4:02,177,55
3,00:47.5,02:23.7,0.2,3:58,,151,154,,,,,,,158,222,50.9% L / 49.1% R,1.55,12,7.4,9,,3:56,159,0:46,3:50,177,55
4,00:50.6,03:14.3,0.2,4:13,,156,158,9,4,,,,,157,226,50.9% L / 49.1% R,1.46,11.7,7.7,9,,4:16,158,00:50.6,4:13,177,55
5,00:48.4,04:02.7,0.2,4:02,,160,161,,12,,,,,157,225,50.8% L / 49.2% R,1.52,11.9,7.6,10,,4:01,158,0:48,4:00,177,55
6,00:46.3,04:48.9,0.2,3:51,,163,165,14,,,,,,156,228,51.0% L / 49.0% R,1.53,12.1,7.6,9,,3:54,157,00:46.3,3:51,177,55
7,00:45.7,05:34.6,0.2,3:48,,166,168,,13,,,,,156,227,51.0% L / 49.0% R,1.6,12.2,7.4,9,,3:51,157,00:45.7,3:48,177,55
8,00:50.8,06:25.4,0.2,4:14,,167,169,,,,,,,156,230,51.0% L / 49.0% R,1.55,12,7.5,10,,3:58,156,0:50,4:10,177,55
9,00:49.3,07:14.7,0.2,4:07,,170,171,6,,,,,,156,228,51.2% L / 48.8% R,1.51,12.1,7.7,10,,4:05,156,00:49.3,4:07,177,55
10,00:50.7,08:05.4,0.2,4:13,,172,172,14,8,,,,,155,229,51.1% L / 48.9% R,1.47,12.1,8,10,,4:21,156,0:50,4:10,177,55
11,00:48.0,08:53.4,0.2,4:00,,172,173,,13,,,,,155,230,50.9% L / 49.1% R,1.57,12.2,7.6,10,,3:58,155,0:48,4:00,177,55
12,00:49.9,09:43.3,0.2,4:10,,173,175,13,,,,,,155,231,50.8% L / 49.2% R,1.51,12.4,7.9,10,,4:14,156,00:49.9,4:10,177,55
13,00:48.7,10:32,0.2,4:03,,173,174,,11,,,,,154,233,50.8% L / 49.3% R,1.53,12.4,7.8,10,,4:03,155,00:48.7,4:03,177,55
14,00:53.1,11:25,0.2,4:25,,172,174,,,,,,,153,235,50.8% L / 49.2% R,1.51,12.5,8.1,10,,4:09,154,00:53.1,4:25,177,55
15,00:46.9,12:12,0.2,3:54,,175,175,7,,,,,,154,229,50.8% L / 49.2% R,1.54,12.4,7.8,9,,3:59,156,00:46.9,3:54,177,55
16,00:52.1,13:04,0.2,4:21,,176,178,13,9,,,,,155,227,51.0% L / 49.0% R,1.52,12.4,7.9,10,,4:08,155,0:52,4:20,177,55
17,00:14.6,13:19,0.06,3:54,,178,178,,,,,,,154,236,51.1% L / 48.9% R,1.52,12.6,8.3,3,,4:16,155,0:14,3:45,177,55
