ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:57.9,00:57.9,0.2,4:50,,141,156,,7,,,,,162,230,左 49.8%／右 50.2%,1.22,9.6,8.6,7,,4:27,167,00:57.9,4:50,172,48
2,00:59.8,01:57.7,0.2,4:59,,162,165,12,3,,,,,163,238,左 49.4%／右 50.6%,1.27,9.7,7.4,10,,4:33,164,00:59.8,4:59,172,48
3,01:00.9,02:58.6,0.2,5:05,,163,165,,10,,,,,162,243,左 49.0%／右 51.0%,1.23,9.5,7.5,10,,4:52,163,01:00.9,5:05,172,48
4,01:01.9,04:00.5,0.2,5:09,,165,166,9,,,,,,163,246,左 47.9%／右 52.1%,1.17,9.1,7.6,10,,5:16,165,01:01.9,5:09,172,48
5,01:01.7,05:02.2,0.2,5:09,,165,168,,10,,,,,164,244,左 48.3%／右 51.8%,1.19,9,7.4,10,,5:09,166,01:01.7,5:09,172,48
6,01:01.7,06:03.9,0.2,5:08,,165,167,12,3,,,,,165,241,左 48.7%／右 51.3%,1.17,9,7.5,10,,5:01,167,1:01,5:05,172,48
7,01:02.1,07:06.0,0.2,5:11,,167,169,,7,,,,,165,243,左 48.5%／右 51.5%,1.2,8.8,7.1,10,,4:53,166,01:02.1,5:11,172,48
8,01:00.9,08:06.9,0.2,5:04,,166,169,9,6,,,,,166,240,左 48.3%／右 51.7%,1.17,9,7.4,10,,5:08,167,1:00,5:00,172,48
9,01:03.3,09:10.2,0.2,5:17,,164,168,6,4,,,,,165,242,左 47.9%／右 52.1%,1.16,8.9,7.4,10,,5:06,167,01:03.3,5:17,172,48
10,00:58.3,10:09,0.2,4:52,,165,169,5,10,,,,,167,234,左 47.8%／右 52.2%,1.19,8.9,7.2,10,,5:00,169,0:58,4:50,172,48
11,00:57.8,11:06,0.2,4:49,,167,169,9,,,,,,167,230,左 49.1%／右 50.9%,1.25,8.8,6.9,9,,4:50,168,00:57.8,4:49,172,48
12,00:58.2,12:05,0.2,4:51,,169,171,,11,,,,,167,228,左 49.1%／右 50.9%,1.28,8.8,6.6,10,,4:39,169,0:58,4:50,172,48
13,00:59.6,13:04,0.2,4:58,,168,171,11,,,,,,166,234,左 48.5%／右 51.5%,1.23,8.8,6.9,9,,4:42,168,00:59.6,4:58,172,48
14,00:54.3,13:59,0.2,4:32,,170,172,,11,,,,,168,224,左 49.2%／右 50.8%,1.3,8.6,6.5,10,,4:23,170,0:54,4:30,172,48
15,00:51.5,14:50,0.2,4:17,,166,171,11,,,,,,168,218,左 50.2%／右 49.8%,1.35,8.7,6.2,8,,4:21,169,0:51,4:15,172,48
16,00:01.0,14:51,0.01,1:50,,171,171,,,,,,,167,213,左 50.1%／右 49.9%,1.45,8.9,5.9,0,,4:21,167,00:01.0,1:50,172,48
