ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:57.7,00:57.7,0.2,4:48,,135,149,,7,,,,,157,225,50.2% L / 49.8% R,1.22,11.1,8.9,11,,4:35,164,0:56,4:40,176,79
2,01:00.3,01:57.9,0.2,5:01,,154,161,7,,,,,,159,231,49.9% L / 50.1% R,1.26,11.5,8.9,13,,4:41,160,01:00.3,5:01,176,79
3,00:57.9,02:55.8,0.2,4:49,,164,171,,7,,,,,159,227,49.9% L / 50.1% R,1.29,11.2,8.4,12,,4:50,161,0:57,4:45,176,79
4,00:58.7,03:54.5,0.2,4:53,,172,173,11,,,,,,160,226,49.5% L / 50.5% R,1.31,11.2,8.3,12,,4:38,161,00:58.7,4:53,176,79
5,01:01.6,04:56.1,0.2,5:08,,172,174,,11,,,,,161,235,49.2% L / 50.8% R,1.22,11.2,9,13,,4:57,163,1:01,5:05,176,79
6,01:10.1,06:06.2,0.2,5:50,,164,171,13,13,,,,,159,247,49.0% L / 51.0% R,1.07,11.3,10.4,14,,5:18,165,1:10,5:50,176,79
7,01:19.1,07:25.3,0.2,6:36,,159,164,13,,,,,,158,265,49.0% L / 51.0% R,0.97,11,11.1,14,,6:08,160,1:19,6:35,176,79
8,01:15.4,08:40.7,0.2,6:17,,150,155,,12,,,,,154,261,48.8% L / 51.2% R,1.02,11.9,11.4,12,,6:16,160,1:15,6:15,176,79
9,01:17.9,09:58.6,0.2,6:30,,155,160,9,,,,,,157,267,48.7% L / 51.3% R,1,11.2,11,13,,6:15,159,01:17.9,6:30,176,79
10,01:21.1,11:20,0.2,6:46,,150,156,,9,,,,,159,272,48.0% L / 52.0% R,0.92,10.6,11.3,12,,6:33,161,1:21,6:45,176,79
11,01:16.2,12:36,0.2,6:21,,152,156,10,,,,,,159,259,48.5% L / 51.5% R,0.99,11.1,11.1,13,,6:21,162,01:16.2,6:21,176,79
12,01:29.1,14:05,0.2,7:25,,148,150,,10,,,,,156,272,48.2% L / 51.8% R,0.91,11.1,12.1,14,,6:23,163,1:29,7:25,176,79
13,01:14.5,15:20,0.2,6:13,,150,152,10,,,,,,157,263,48.0% L / 52.0% R,0.98,11.3,11.3,13,,6:02,164,1:14,6:10,176,79
14,01:18.4,16:38,0.2,6:32,,151,155,,9,,,,,153,260,48.5% L / 51.5% R,1.01,11.9,11.5,14,,6:16,157,1:18,6:30,176,79
15,01:04.2,17:42,0.2,5:21,,154,159,11,,,,,,159,244,48.9% L / 51.1% R,1.11,11,9.9,12,,4:08,166,1:04,5:20,176,79
16,00:08.0,17:50,0.02,6:04,,161,163,,11,,,,,162,237,49.4% L / 50.6% R,1.49,10.1,7,2,,4:08,164,00:08.0,6:04,176,79
