ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,01:01.1,01:01.1,0.2,5:05,,113,132,,6,,,,,180,227,49.3% L / 50.7% R,0.99,9.4,9.6,11,,4:49,185,1:00,5:00,176,79
2,01:07.6,02:08.7,0.2,5:38,,134,143,5,,,,,,176,240,47.5% L / 52.5% R,1.02,9.4,9,14,,5:14,179,01:07.6,5:38,176,79
3,01:05.1,03:13.8,0.2,5:25,,144,147,,8,,,,,175,237,47.9% L / 52.1% R,1.03,9.6,9.2,13,,5:29,177,01:05.1,5:25,176,79
4,01:07.0,04:20.7,0.2,5:35,,148,151,9,,,,,,174,240,48.6% L / 51.4% R,1.05,9.6,9,14,,5:24,176,1:06,5:30,176,79
5,01:06.8,05:27.5,0.2,5:34,,144,149,,7,,,,,173,244,47.6% L / 52.4% R,1.02,9.7,9.3,13,,5:37,176,01:06.8,5:34,176,79
6,01:08.9,06:36.5,0.2,5:45,,156,168,8,,,,,,172,246,47.9% L / 52.1% R,1.02,9.6,9.3,14,,5:30,174,01:08.9,5:45,176,79
7,01:07.5,07:44.0,0.2,5:38,,158,166,,9,,,,,172,247,47.9% L / 52.1% R,1.01,9.6,9.3,13,,5:37,174,1:07,5:35,176,79
8,01:10.0,08:54.0,0.2,5:50,,167,182,7,,,,,,171,247,47.4% L / 52.6% R,1.03,9.9,9.4,14,,5:33,173,01:10.0,5:50,176,79
9,01:09.3,10:03,0.2,5:47,,181,184,,7,,,,,171,250,47.2% L / 52.8% R,1,9.7,9.6,14,,5:46,172,01:09.3,5:47,176,79
10,01:09.7,11:13,0.2,5:48,,182,183,8,7,,,,,170,248,47.1% L / 52.9% R,1.02,9.7,9.3,15,,5:34,174,1:09,5:45,176,79
11,01:09.0,12:22,0.2,5:45,,179,181,6,,,,,,171,248,46.9% L / 53.1% R,1.01,9.7,9.5,15,,5:39,173,01:09.0,5:45,176,79
12,01:09.1,13:31,0.2,5:45,,182,184,,8,,,,,171,248,47.0% L / 53.0% R,1.02,9.7,9.3,15,,5:39,173,1:09,5:45,176,79
13,01:08.4,14:39,0.2,5:42,,184,186,9,,,,,,170,249,47.2% L / 52.8% R,1.02,9.8,9.4,15,,5:41,172,01:08.4,5:42,176,79
14,01:08.8,15:48,0.2,5:44,,187,188,,8,,,,,172,246,47.2% L / 52.8% R,1.02,9.4,9,15,,5:37,174,1:08,5:40,176,79
15,01:03.3,16:51,0.2,5:16,,187,189,8,,,,,,173,240,47.5% L / 52.5% R,1.07,9.6,8.8,14,,5:23,175,01:03.3,5:16,176,79
16,00:02.2,16:54,0.01,4:33,,187,187,,,,,,,174,238,47.7% L / 52.3% R,1.1,9.3,8.2,0,,5:22,174,0:02,4:04,,
