ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,01:03.8,01:03.8,0.2,5:19,,149,169,,4,,,,,165,206,左 53.6%／右 46.4%,1.27,11.3,8.9,11,,4:03,175,1:03,5:15,173,62
2,00:54.8,01:58.6,0.2,4:34,,173,176,11,5,,,,,163,220,左 49.8%／右 50.2%,1.33,10.7,7.8,10,,4:30,165,0:54,4:30,173,62
3,00:58.4,02:57.0,0.2,4:52,,174,176,,5,,,,,160,231,左 49.7%／右 50.3%,1.3,11,8.2,12,,4:33,162,00:58.4,4:52,173,62
4,01:01.1,03:58.2,0.2,5:06,,171,172,12,4,,,,,159,235,左 49.7%／右 50.3%,1.25,11.1,8.6,13,,4:50,161,1:01,5:05,173,62
5,01:05.6,05:03.8,0.2,5:28,,172,177,,8,,,,,159,246,左 49.6%／右 50.4%,1.15,11,9.4,12,,5:02,161,1:05,5:25,173,62
6,01:02.9,06:06.7,0.2,5:15,,189,199,8,8,,,,,159,240,左 49.8%／右 50.2%,1.2,11.2,9.1,14,,5:12,160,01:02.9,5:15,173,62
7,01:01.7,07:08.4,0.2,5:09,,200,201,8,,,,,,160,239,左 49.9%／右 50.1%,1.21,11.1,8.9,14,,5:01,161,01:01.7,5:09,173,62
8,01:04.3,08:12.7,0.2,5:21,,202,203,,8,,,,,160,248,左 49.8%／右 50.2%,1.2,11,8.9,16,,5:12,162,1:04,5:20,173,62
9,01:07.8,09:20.5,0.2,5:39,,202,203,8,,,,,,158,249,左 49.8%／右 50.2%,1.15,11.1,9.4,17,,5:18,162,01:07.8,5:39,173,62
10,01:11.5,10:32,0.2,5:58,,201,203,,8,,,,,160,254,左 50.3%／右 49.7%,1.07,10.9,9.9,18,,5:38,162,01:11.5,5:58,173,62
11,01:13.6,11:46,0.2,6:08,,202,203,9,,,,,,158,254,左 49.8%／右 50.2%,1.05,11.2,10.4,19,,5:48,161,1:13,6:05,173,62
12,01:17.8,13:04,0.2,6:29,,202,203,,8,,,,,159,258,左 49.7%／右 50.3%,0.99,11.1,11.1,20,,6:08,161,01:17.8,6:29,173,62
13,01:13.6,14:17,0.2,6:08,,202,204,11,2,,,,,162,253,左 50.1%／右 49.9%,0.97,11.1,11.3,19,,6:28,163,01:13.6,6:08,173,62
14,01:14.4,15:32,0.2,6:12,,203,205,,11,,,,,160,248,左 49.8%／右 50.2%,1.03,11.3,10.8,19,,6:08,163,1:14,6:10,173,62
15,01:01.2,16:33,0.2,5:06,,207,210,12,5,,,,,161,233,左 50.0%／右 50.0%,1.18,11.2,9.4,17,,4:34,163,01:01.2,5:06,173,62
16,00:03.5,16:36,0.01,4:23,,210,210,,,,,,,163,218,左 50.5%／右 49.5%,1.32,10.9,8,1,,4:39,163,0:02,2:31,173,62
