ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:56.4,00:56.4,0.2,4:42,,109,127,,7,,,,,180,192,左 51.4%／右 48.6%,1.22,8.5,6.4,7,,4:12,190,0:52,4:20,172,55
2,00:53.7,01:50.1,0.2,4:28,,138,143,9,,,,,,182,189,左 48.8%／右 51.2%,1.23,8.7,6.8,12,,4:31,184,00:53.7,4:28,172,55
3,00:57.0,02:47.1,0.2,4:45,,147,153,,8,,,,,178,197,左 48.5%／右 51.5%,1.2,9,7.3,12,,4:31,181,00:57.0,4:45,172,55
4,00:55.6,03:42.7,0.2,4:38,,154,156,9,,,,,,178,198,左 48.2%／右 51.8%,1.19,9.1,7.4,12,,4:41,179,0:55,4:35,172,55
5,00:59.4,04:42.1,0.2,4:57,,154,159,,9,,,,,177,202,左 48.1%／右 51.9%,1.17,9.2,7.6,11,,4:43,179,00:59.4,4:57,172,55
6,01:00.4,05:42.5,0.2,5:02,,154,157,9,8,,,,,177,205,左 47.9%／右 52.1%,1.15,9.2,7.7,13,,4:52,178,1:00,5:00,172,55
7,01:00.4,06:42.8,0.2,5:02,,163,168,6,3,,,,,176,207,左 48.5%／右 51.5%,1.14,9,7.7,12,,4:56,177,01:00.4,5:02,172,55
8,00:58.0,07:40.8,0.2,4:50,,159,163,7,12,,,,,175,206,左 48.2%／右 51.8%,1.18,9.2,7.6,11,,4:50,177,00:58.0,4:50,172,55
9,01:00.5,08:41.3,0.2,5:03,,157,161,8,,,,,,176,207,左 48.5%／右 51.5%,1.15,9.2,7.8,13,,4:54,177,1:00,5:00,172,55
10,01:00.9,09:42.2,0.2,5:05,,159,163,,8,,,,,176,206,左 48.6%／右 51.4%,1.14,9.1,7.8,12,,4:59,178,01:00.9,5:05,172,55
11,00:59.3,10:42,0.2,4:56,,163,166,9,,,,,,175,207,左 48.5%／右 51.5%,1.15,9.4,8,12,,4:58,177,0:59,4:55,172,55
12,01:02.8,11:44,0.2,5:14,,162,167,,8,,,,,173,209,左 48.3%／右 51.7%,1.13,9.5,8.1,12,,4:52,176,01:02.8,5:14,172,55
13,00:58.6,12:43,0.2,4:53,,175,189,9,,,,,,174,210,左 48.3%／右 51.7%,1.13,9.6,8.3,12,,5:07,175,00:58.6,4:53,172,55
14,01:00.1,13:43,0.2,5:00,,192,194,,11,,,,,172,209,左 48.1%／右 51.9%,1.17,9.8,8.2,13,,4:56,175,1:00,5:00,172,55
15,00:45.6,14:29,0.2,3:48,,199,202,9,,,,,,181,185,左 48.4%／右 51.6%,1.43,8.7,6,11,,3:22,184,0:45,3:45,172,55
16,00:01.5,14:30,0.01,2:55,,201,201,,,,,,,182,187,左 48.7%／右 51.3%,1.46,8.4,5.5,1,,4:01,182,0:01,1:58,172,55
