ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:51.0,00:51.0,0.2,4:15,,126,140,,7,,,,,167,185,左 51.1%／右 48.9%,1.28,10.1,8.9,6,,3:52,187,0:46,3:50,167,60
2,00:48.9,01:39.9,0.2,4:05,,149,158,8,2,,,,,173,186,左 51.5%／右 48.5%,1.43,10.1,6.9,8,,4:01,175,00:48.9,4:05,167,60
3,00:49.0,02:28.9,0.2,4:05,,155,159,2,9,,,,,174,196,左 51.6%／右 48.4%,1.37,9.9,7,11,,3:45,176,0:49,4:05,167,60
4,00:52.3,03:21.2,0.2,4:21,,159,169,10,,,,,,174,195,左 52.0%／右 48.0%,1.32,10.2,7.4,12,,4:18,176,00:52.3,4:21,167,60
5,00:51.8,04:13.0,0.2,4:19,,169,170,,10,,,,,176,204,左 51.8%／右 48.2%,1.28,9.6,7.3,11,,4:14,177,0:51,4:15,167,60
6,00:54.2,05:07.2,0.2,4:31,,164,169,9,,,,,,176,205,左 51.6%／右 48.4%,1.26,9.7,7.5,11,,4:24,179,00:54.2,4:31,167,60
7,00:52.6,05:59.8,0.2,4:23,,167,170,,8,,,,,179,202,左 51.6%／右 48.4%,1.24,9.3,7.3,12,,4:25,181,0:52,4:20,167,60
8,00:52.4,06:52.2,0.2,4:22,,170,172,10,,,,,,178,199,左 51.3%／右 48.7%,1.31,9.4,6.9,10,,4:08,180,0:52,4:20,167,60
9,00:55.7,07:47.8,0.2,4:38,,170,171,,10,,,,,178,209,左 50.9%／右 49.1%,1.18,9.4,7.7,12,,4:22,180,00:55.7,4:38,167,60
10,00:53.6,08:41.4,0.2,4:28,,173,179,9,,,,,,178,201,左 51.2%／右 48.8%,1.25,9.4,7.2,12,,4:24,181,00:53.6,4:28,167,60
11,00:54.7,09:36.1,0.2,4:33,,174,176,,10,,,,,177,203,左 51.4%／右 48.6%,1.27,9.4,7.2,12,,4:25,179,0:54,4:30,167,60
12,00:57.2,10:33,0.2,4:46,,172,175,7,,,,,,176,208,左 50.8%／右 49.2%,1.19,9.7,7.9,12,,4:25,179,00:57.2,4:46,167,60
13,00:56.0,11:29,0.2,4:40,,177,180,,8,,,,,178,207,左 50.6%／右 49.4%,1.19,9.4,7.7,12,,4:28,179,00:56.0,4:40,167,60
14,00:56.9,12:26,0.2,4:44,,175,176,7,,,,,,177,207,左 50.9%／右 49.1%,1.22,9.6,7.6,11,,4:19,180,00:56.9,4:44,167,60
15,00:47.0,13:13,0.2,3:55,,174,177,,6,,,,,179,192,左 50.9%／右 49.1%,1.35,9.2,6.7,12,,3:58,181,00:47.0,3:55,167,60
16,00:42.7,13:56,0.15,4:49,,178,180,10,,,,,,174,201,左 50.6%／右 49.4%,1.38,8.8,6.2,10,,3:57,181,0:41,4:38,167,60
