ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:47.3,00:47.3,0.2,3:57,,127,149,,8,,,,,165,215,左 51.3%／右 48.7%,1.47,10.5,9.7,6,,3:26,172,0:44,3:40,169,57
2,00:48.5,01:35.8,0.2,4:02,,151,160,12,,,,,,170,199,左 50.2%／右 49.8%,1.5,10.6,6.8,11,,3:46,172,00:48.5,4:02,169,57
3,00:52.9,02:28.7,0.2,4:24,,180,196,,11,,,,,170,199,左 50.1%／右 49.9%,1.39,10.6,7.3,11,,3:55,171,00:52.9,4:24,169,57
4,00:56.6,03:25.3,0.2,4:43,,195,197,8,,,,,,170,206,左 50.2%／右 49.8%,1.28,10.4,7.9,12,,4:28,174,0:56,4:40,169,57
5,00:54.9,04:20.2,0.2,4:35,,195,198,,9,,,,,171,207,左 50.2%／右 49.8%,1.27,10.3,7.8,12,,4:39,172,00:54.9,4:35,169,57
6,00:59.2,05:19.4,0.2,4:56,,197,198,8,,,,,,172,219,左 50.5%／右 49.5%,1.23,10,7.8,13,,4:42,175,00:59.2,4:56,169,57
7,00:57.9,06:17.3,0.2,4:49,,196,196,,8,,,,,175,214,左 50.3%／右 49.7%,1.17,9.6,7.9,12,,4:52,177,0:57,4:45,169,57
8,00:56.8,07:14.1,0.2,4:44,,195,197,9,8,,,,,175,214,左 50.1%／右 49.9%,1.21,9.7,7.7,12,,4:50,177,00:56.8,4:44,169,57
9,00:58.4,08:12.5,0.2,4:52,,196,197,6,2,,,,,174,214,左 50.2%／右 49.8%,1.19,9.8,7.9,13,,4:50,177,00:58.4,4:52,169,57
10,00:57.4,09:09.9,0.2,4:47,,197,197,7,13,,,,,174,217,左 50.3%／右 49.7%,1.17,9.7,8.1,12,,4:53,176,0:57,4:45,169,57
11,01:01.1,10:11,0.2,5:05,,197,198,12,,,,,,174,215,左 50.5%／右 49.5%,1.14,10,8.4,13,,4:52,175,1:01,5:05,169,57
12,01:02.8,11:14,0.2,5:14,,196,197,,11,,,,,174,217,左 50.7%／右 49.3%,1.12,9.9,8.5,13,,5:04,176,01:02.8,5:14,169,57
13,01:02.2,12:16,0.2,5:11,,197,199,9,,,,,,174,213,左 50.4%／右 49.6%,1.13,10,8.5,13,,5:06,175,1:02,5:10,169,57
14,01:01.4,13:17,0.2,5:07,,197,199,,8,,,,,174,214,左 50.4%／右 49.6%,1.11,10,8.7,13,,4:59,176,1:01,5:05,169,57
15,00:52.6,14:10,0.2,4:23,,201,203,11,2,,,,,176,212,左 50.4%／右 49.6%,1.24,9.7,7.6,12,,4:30,179,00:52.6,4:23,169,57
16,00:02.3,14:12,0.01,4:07,,203,203,,,,,,,177,208,左 50.3%／右 49.7%,1.27,9.4,7.2,0,,4:30,177,0:01,1:48,169,57
17,00:06.6,15:32,0.01,12:34,,166,167,,,,,,,112,,,0.69,3.6,5.5,2,,14:53,112,0:06,11:21,169,57
