ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:48.5,00:48.5,0.2,4:02,,146,161,,8,,,,,175,206,左 49.5%／右 50.5%,1.28,9.4,6.8,10,,3:49,181,0:45,3:45,172,70
2,00:48.7,01:37.2,0.2,4:04,,170,175,9,3,,,,,176,203,左 49.2%／右 50.8%,1.42,9.8,6.6,12,,3:56,177,00:48.7,4:04,172,70
3,00:52.5,02:29.7,0.2,4:23,,184,188,,8,,,,,173,203,左 49.1%／右 50.9%,1.37,10.2,7.2,15,,4:06,175,00:52.5,4:23,172,70
4,00:53.0,03:22.7,0.2,4:25,,187,190,7,,,,,,170,206,左 49.3%／右 50.8%,1.31,10.4,7.7,14,,4:23,171,0:53,4:25,172,70
5,00:54.9,04:17.7,0.2,4:35,,191,192,2,8,,,,,171,209,左 49.0%／右 51.0%,1.29,10.4,7.8,15,,4:33,172,0:54,4:30,172,70
6,00:54.3,05:11.9,0.2,4:31,,191,194,10,1,,,,,170,210,左 48.8%／右 51.2%,1.29,10.4,7.8,15,,4:33,173,00:54.3,4:31,172,70
7,01:00.3,06:12.2,0.2,5:02,,191,193,,11,,,,,169,221,左 49.1%／右 50.9%,1.19,10.4,8.4,16,,4:38,170,1:00,5:00,172,70
8,01:02.5,07:14.7,0.2,5:12,,188,191,12,10,,,,,169,224,左 49.1%／右 50.9%,1.16,10.3,8.7,16,,4:56,170,01:02.5,5:12,172,70
9,01:06.9,08:21.6,0.2,5:35,,188,191,,,,,,,168,238,左 49.1%／右 50.9%,1.08,10.3,9.3,16,,5:12,170,1:06,5:30,172,70
10,01:03.3,09:25.0,0.2,5:17,,191,194,9,10,,,,,169,238,左 49.3%／右 50.7%,1.12,10.4,9,17,,5:01,173,01:03.3,5:17,172,70
11,01:09.7,10:35,0.2,5:49,,187,191,11,,,,,,167,245,左 49.4%／右 50.6%,1.01,10.5,10.1,18,,5:51,168,01:09.7,5:49,172,70
12,01:01.8,11:36,0.2,5:09,,186,189,,10,,,,,169,227,左 49.4%／右 50.6%,1.14,10.4,8.9,16,,4:48,175,1:01,5:05,172,70
13,01:07.6,12:44,0.2,5:38,,180,185,8,,,,,,167,241,左 49.3%／右 50.7%,1.05,10.5,9.8,16,,5:45,168,01:07.6,5:38,172,70
14,01:10.4,13:54,0.2,5:52,,180,182,,8,,,,,168,242,左 49.4%／右 50.6%,1.04,10.3,9.7,16,,5:40,171,1:10,5:50,172,70
15,01:08.7,15:03,0.2,5:43,,182,183,8,,,,,,168,243,左 49.4%／右 50.6%,1,10.3,10.2,15,,5:23,175,01:08.7,5:43,172,70
16,00:22.1,15:25,0.04,10:11,,172,175,2,,,,,,125,228,左 49.3%／右 50.7%,0.89,6.4,7,4,,5:11,173,0:20,9:14,172,70
17,00:06.6,15:32,0.01,12:34,,166,167,,,,,,,112,,,0.69,3.6,5.5,2,,14:53,112,0:06,11:21,172,70
