ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:43.9,00:43.9,0.2,3:39,,109,127,,,,,,,186,198,49.3% L / 50.7% R,1.39,7.3,6.4,4,,3:28,196,0:42,3:30,161,45
2,00:48.9,01:32.8,0.2,4:05,,142,152,10,6,,,,,185,203,48.6% L / 51.4% R,1.36,7.8,5.5,8,,3:43,188,00:48.9,4:05,161,45
3,00:45.2,02:18.0,0.2,3:46,,152,158,,9,,,,,184,205,48.6% L / 51.4% R,1.39,7.9,5.4,9,,3:43,185,0:45,3:45,161,45
4,00:51.2,03:09.2,0.2,4:16,,182,192,,,,,,,184,203,48.0% L / 52.0% R,1.34,8,5.7,10,,3:50,185,00:51.2,4:16,161,45
5,00:45.5,03:54.7,0.2,3:48,,194,194,11,10,,,,,184,205,48.0% L / 52.0% R,1.39,7.9,5.5,9,,3:55,186,0:45,3:45,161,45
6,00:48.3,04:43.0,0.2,4:01,,194,196,7,,,,,,185,201,48.1% L / 51.9% R,1.37,7.9,5.6,9,,3:55,189,00:48.3,4:01,161,45
7,00:46.4,05:29.4,0.2,3:52,,196,197,,9,,,,,185,205,47.9% L / 52.1% R,1.4,8,5.4,9,,3:53,187,0:46,3:50,161,45
8,00:50.0,06:19.4,0.2,4:10,,197,198,10,,,,,,184,204,47.8% L / 52.2% R,1.33,8,5.8,9,,3:54,186,00:50.0,4:10,161,45
9,00:46.3,07:05.7,0.2,3:52,,198,199,,8,,,,,184,206,47.7% L / 52.3% R,1.4,8.1,5.5,9,,3:51,186,0:46,3:50,161,45
10,00:49.4,07:55.1,0.2,4:07,,199,199,9,,,,,,183,203,46.9% L / 53.1% R,1.35,8.2,5.8,9,,3:52,185,0:48,4:00,161,45
11,00:48.9,08:43.9,0.2,4:04,,200,200,,9,,,,,183,206,47.8% L / 52.2% R,1.36,8.4,5.9,9,,4:01,185,00:48.9,4:04,161,45
12,00:48.4,09:32.3,0.2,4:02,,200,201,6,,,,,,183,207,47.0% L / 53.0% R,1.34,8.3,5.9,9,,4:04,185,00:48.4,4:02,161,45
13,00:48.0,10:20,0.2,4:00,,201,202,,7,,,,,183,207,47.5% L / 52.5% R,1.4,8.4,5.7,9,,3:58,185,0:47,3:55,161,45
14,00:45.3,11:06,0.2,3:47,,202,203,6,,,,,,184,204,47.2% L / 52.8% R,1.38,8.1,5.6,9,,3:39,186,00:45.3,3:47,161,45
15,00:43.7,11:49,0.2,3:38,,204,205,,7,,,,,187,204,47.0% L / 53.0% R,1.48,7.8,5,9,,3:34,190,0:43,3:35,161,45
16,00:17.5,12:07,0.08,3:37,,205,206,13,,,,,,190,208,47.5% L / 52.5% R,1.45,7.9,5.1,4,,3:36,192,00:17.5,3:37,161,45
