ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:41.6,00:41.6,0.2,3:28,,102,128,,7,,,,,155,184,左 53.1%／右 46.9%,1.66,12.9,8.6,5,,3:40,157,0:40,3:20,178,63
2,00:46.5,01:28.1,0.2,3:52,,138,141,9,,,,,,154,186,左 52.5%／右 47.5%,1.75,13.2,7.3,9,,3:40,155,00:46.5,3:52,178,63
3,00:49.2,02:17.3,0.2,4:06,,140,141,,9,,,,,153,197,左 50.9%／右 49.1%,1.7,13.1,7.4,12,,3:46,156,0:49,4:05,178,63
4,00:51.2,03:08.5,0.2,4:16,,146,153,9,,,,,,154,204,左 50.8%／右 49.2%,1.5,12.9,8.3,12,,4:12,155,0:51,4:15,178,63
5,00:50.3,03:58.8,0.2,4:12,,151,152,,8,,,,,155,204,左 50.7%／右 49.3%,1.49,12.7,8.3,10,,4:10,162,0:50,4:10,178,63
6,00:50.9,04:49.7,0.2,4:14,,154,157,8,,,,,,154,201,左 50.2%／右 49.8%,1.53,12.7,8.1,13,,4:03,156,00:50.9,4:14,178,63
7,00:51.2,05:40.8,0.2,4:16,,158,160,7,9,,,,,155,201,左 50.2%／右 49.8%,1.54,12.7,7.9,12,,4:01,156,0:51,4:15,178,63
8,00:54.0,06:34.8,0.2,4:30,,158,161,2,8,,,,,154,210,左 50.4%／右 49.6%,1.46,12.6,8.4,14,,4:18,156,00:54.0,4:30,178,63
9,00:50.0,07:24.8,0.2,4:10,,163,166,10,,,,,,153,199,左 50.5%／右 49.5%,1.54,12.9,8.1,11,,4:16,155,0:50,4:10,178,63
10,00:50.6,08:15.4,0.2,4:13,,165,169,,7,,,,,154,208,左 50.7%／右 49.3%,1.54,12.5,7.9,13,,4:04,156,00:50.6,4:13,178,63
11,00:53.9,09:09.3,0.2,4:29,,167,171,8,3,,,,,156,215,左 50.0%／右 50.0%,1.45,12.2,8.1,11,,4:21,159,00:53.9,4:29,178,63
12,00:54.8,10:04,0.2,4:34,,165,171,,8,,,,,156,212,左 50.1%／右 49.9%,1.42,12.3,8.3,11,,4:23,158,00:54.8,4:34,178,63
13,00:53.9,10:58,0.2,4:30,,173,174,11,,,,,,155,213,左 50.2%／右 49.8%,1.43,12.5,8.4,12,,4:18,158,0:53,4:25,178,63
14,00:55.4,11:53,0.2,4:37,,174,175,,10,,,,,154,214,左 50.2%／右 49.8%,1.43,12.7,8.6,13,,4:25,155,00:55.4,4:37,178,63
15,00:54.8,12:48,0.2,4:34,,175,176,9,,,,,,153,211,左 50.5%／右 49.5%,1.42,12.8,8.8,12,,4:33,154,00:54.8,4:34,178,63
16,00:01.6,12:50,0.01,3:33,,175,175,,,,,,,153,222,左 50.7%／右 49.3%,1.42,12.9,8.8,0,,4:36,153,0:01,2:16,178,63
17,00:06.6,15:32,0.01,12:34,,166,167,,,,,,,112,,,0.69,3.6,5.5,2,,14:53,112,0:06,11:21,178,63
