ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:51.2,00:51.2,0.2,4:16,,133,161,,7,,,,,164,207,左 52.0%／右 48.0%,1.33,10.1,8.5,8,,4:04,171,0:46,3:50,175,60
2,00:50.4,01:41.6,0.2,4:12,,167,171,8,,,,,,164,209,左 50.1%／右 49.9%,1.46,10.7,7.1,11,,4:05,165,0:50,4:10,175,60
3,00:49.7,02:31.3,0.2,4:09,,175,176,,8,,,,,164,210,左 50.0%／右 50.0%,1.48,10.8,7,11,,4:09,165,00:49.7,4:09,175,60
4,00:48.2,03:19.4,0.2,4:01,,177,179,8,,,,,,163,209,左 50.0%／右 50.0%,1.47,10.9,7.2,11,,4:10,164,0:48,4:00,175,60
5,00:51.4,04:10.8,0.2,4:17,,179,182,,8,,,,,164,212,左 50.2%／右 49.8%,1.45,10.6,7.1,11,,4:09,166,00:51.4,4:17,175,60
6,00:49.7,05:00.5,0.2,4:08,,182,183,9,,,,,,164,210,左 50.2%／右 49.8%,1.46,10.7,7.1,11,,4:09,165,00:49.7,4:08,175,60
7,00:49.8,05:50.3,0.2,4:09,,182,182,,11,,,,,165,207,左 50.1%／右 49.9%,1.47,10.8,7.1,11,,4:06,165,00:49.8,4:09,175,60
8,00:49.6,06:39.9,0.2,4:08,,183,184,12,10,,,,,165,204,左 50.2%／右 49.8%,1.48,10.7,7.1,11,,4:06,167,00:49.6,4:08,175,60
9,00:50.9,07:30.8,0.2,4:15,,184,185,9,,,,,,164,208,左 50.2%／右 49.8%,1.46,10.8,7.2,11,,4:06,165,0:50,4:10,175,60
10,00:49.7,08:20.5,0.2,4:08,,185,186,,8,,,,,165,209,左 50.3%／右 49.7%,1.45,10.7,7.2,11,,4:11,166,00:49.7,4:08,175,60
11,00:49.5,09:10.0,0.2,4:08,,186,187,10,,,,,,166,204,左 50.0%／右 50.0%,1.46,10.7,7.1,11,,4:08,169,00:49.5,4:08,175,60
12,00:49.6,09:59.6,0.2,4:08,,186,188,,10,,,,,165,205,左 49.9%／右 50.1%,1.48,10.9,7.2,11,,4:08,166,0:49,4:05,175,60
13,00:50.6,10:50,0.2,4:13,,188,188,10,,,,,,165,207,左 49.9%／右 50.1%,1.45,10.8,7.2,12,,4:08,166,00:50.6,4:13,175,60
14,00:48.9,11:39,0.2,4:05,,187,188,,11,,,,,166,203,左 50.1%／右 49.9%,1.46,10.6,7,11,,4:07,169,00:48.9,4:05,175,60
15,00:48.7,12:28,0.2,4:04,,190,191,8,,,,,,167,201,左 49.9%／右 50.1%,1.5,10.6,6.8,11,,4:02,169,0:48,4:00,175,60
16,00:11.0,12:39,0.03,6:07,,190,190,,,,,,,154,223,左 49.7%／右 50.3%,1.38,9.9,7.1,3,,4:05,164,0:10,5:34,175,60
