iteration, mae_loss, mse_loss,rmse_loss
1,53.28161,2917.98082,53.99491
2,47.8729,2371.65361,48.6727
3,37.37777,1510.86584,38.84873
4,24.06592,733.86875,27.03505
5,18.08018,441.6548,20.92079
6,15.20356,335.50983,18.17987
7,13.6098,273.14572,16.40963
8,12.34506,227.13383,14.93667
9,11.18236,189.09021,13.71426
10,10.25455,160.48626,12.5543
11,9.52544,140.32682,11.80569
12,8.79608,121.20874,10.92485
13,8.26117,107.08657,10.25285
14,7.7409,93.85755,9.59389
15,7.19826,81.6949,8.95615
16,6.70598,70.76273,8.35267
17,6.29485,62.59052,7.81359
18,5.88709,54.86504,7.37809
19,5.52934,48.13774,6.85858
20,5.17354,42.43525,6.46553
21,4.8301,37.09949,6.06478
22,4.49212,32.66407,5.67818
23,4.2512,28.87313,5.34964
24,3.9745,25.63311,5.03107
25,3.7721,23.02883,4.7594
26,3.54375,20.56689,4.4942
27,3.35561,18.31912,4.24802
28,3.17456,16.63998,4.04633
29,3.04036,15.16702,3.8424
30,2.90653,14.04162,3.69109
31,2.77989,12.82121,3.54767
32,2.66608,11.89538,3.4005
33,2.56179,10.94819,3.28251
34,2.46247,10.2933,3.17638
35,2.35521,9.37159,3.02246
36,2.26837,8.78078,2.92933
37,2.20168,8.31072,2.85492
38,2.10985,7.7302,2.75478
39,2.03708,7.20045,2.65553
40,1.99114,6.98309,2.60281
41,1.89985,6.33604,2.49347
42,1.83581,6.00665,2.41733
43,1.77192,5.61907,2.33914
44,1.77986,5.53478,2.31786
45,1.6482,4.86382,2.17215
46,1.59005,4.57748,2.10412
47,1.53304,4.27381,2.04428
48,1.50183,4.04365,1.98956
49,1.45078,3.7881,1.91216
50,1.39357,3.50565,1.84809
51,1.337,3.26464,1.78247
52,1.31975,3.16582,1.75223
53,1.30479,3.00017,1.70042
54,1.26382,2.87624,1.67473
55,1.27874,2.85947,1.66166
56,1.23387,2.75392,1.62163
57,1.17497,2.48578,1.54505
58,1.13561,2.31386,1.50064
59,1.14041,2.29639,1.48993
60,1.10646,2.20073,1.45996
61,1.10475,2.13361,1.44437
62,1.06166,1.99919,1.38931
63,1.04843,1.94309,1.37833
64,1.02373,1.85697,1.3478
65,0.98308,1.7303,1.30157
66,0.9903,1.74638,1.30488
67,0.9675,1.65512,1.27266
68,0.94084,1.59335,1.23431
69,0.93041,1.55451,1.22748
70,0.93745,1.53055,1.21002
71,0.9,1.46304,1.18902
72,0.92478,1.49273,1.19902
73,0.86275,1.33088,1.14276
74,0.867,1.31804,1.13891
75,0.82676,1.23994,1.09662
76,0.80813,1.1835,1.06956
77,0.80894,1.17711,1.07033
78,0.78289,1.11333,1.03817
79,0.78962,1.12939,1.04856
80,0.77688,1.06066,1.01088
81,0.77565,1.05062,1.00269
82,0.7458,1.01421,0.98402
83,0.73779,0.9621,0.96557
84,0.73163,0.94401,0.96327
85,0.72979,0.9442,0.95353
86,0.6974,0.90144,0.92839
87,0.70566,0.88657,0.92567
88,0.70498,0.86714,0.91744
89,0.67605,0.82222,0.88966
90,0.6815,0.85433,0.89359
91,0.67314,0.80634,0.88121
92,0.69008,0.83817,0.89991
93,0.71266,0.85201,0.91331
94,0.66628,0.78003,0.86899
95,0.65324,0.74964,0.84864
96,0.64825,0.74492,0.85403
97,0.63225,0.69959,0.82177
98,0.63309,0.72881,0.84277
99,0.64811,0.73988,0.84682
100,0.60872,0.69155,0.8063
101,0.60052,0.6384,0.7819
102,0.60451,0.64642,0.79102
103,0.58164,0.63007,0.77733
104,0.59546,0.65331,0.78942
105,0.5862,0.61624,0.76726
106,0.58341,0.61135,0.7704
107,0.57814,0.61294,0.76462
108,0.57634,0.60618,0.76609
109,0.57352,0.59452,0.75516
110,0.5561,0.56563,0.7318
111,0.5731,0.58806,0.75293
112,0.54554,0.55523,0.72836
113,0.56749,0.57906,0.74745
114,0.59243,0.60036,0.76168
115,0.54568,0.56154,0.72744
116,0.56814,0.56134,0.74341
117,0.52001,0.51574,0.70349
118,0.52546,0.50905,0.70302
119,0.53696,0.52041,0.70629
120,0.50458,0.48849,0.68557
121,0.50845,0.48289,0.67492
122,0.53373,0.53244,0.71112
123,0.50591,0.48632,0.68389
124,0.50655,0.47468,0.67391
125,0.48864,0.46046,0.65678
126,0.49347,0.46107,0.66718
127,0.48835,0.44854,0.65365
128,0.5201,0.51239,0.70127
129,0.48327,0.45768,0.65999
130,0.50144,0.4592,0.66755
131,0.48582,0.45232,0.66164
132,0.46603,0.42659,0.63071
133,0.48487,0.4426,0.6448
134,0.45294,0.42139,0.63551
135,0.46727,0.42275,0.62805
136,0.45866,0.41242,0.62347
137,0.48682,0.45767,0.66366
138,0.44906,0.39958,0.61233
139,0.44057,0.39195,0.60279
140,0.45413,0.3968,0.61376
141,0.45747,0.40291,0.61723
142,0.4547,0.40828,0.62516
143,0.43887,0.38616,0.60626
144,0.44775,0.38515,0.6082
145,0.45321,0.39694,0.60868
146,0.45279,0.38327,0.6045
147,0.43093,0.37268,0.58851
148,0.41031,0.35608,0.57562
149,0.40555,0.35169,0.57383
150,0.43148,0.36738,0.59116
151,0.41056,0.34791,0.56887
152,0.44942,0.38115,0.6023
153,0.39034,0.32905,0.55668
154,0.4137,0.34741,0.56597
155,0.396,0.33735,0.55615
156,0.43038,0.36263,0.58806
157,0.44721,0.37647,0.60126
158,0.38562,0.31777,0.54654
159,0.4016,0.32944,0.5543
160,0.41311,0.34065,0.56792
161,0.42401,0.34837,0.5745
162,0.38506,0.3336,0.55439
163,0.39144,0.3232,0.55209
164,0.40983,0.34276,0.56389
165,0.37294,0.29823,0.5235
166,0.3692,0.30975,0.52409
167,0.36061,0.28456,0.5114
168,0.42594,0.34523,0.57583
169,0.36821,0.29541,0.52382
170,0.35326,0.28903,0.5121
171,0.37558,0.29913,0.5259
172,0.37699,0.33797,0.5443
173,0.41588,0.34459,0.57215
174,0.3539,0.28177,0.51128
175,0.38673,0.29936,0.52793
176,0.38447,0.3127,0.53894
177,0.402,0.31729,0.54715
178,0.36673,0.28969,0.51421
179,0.37837,0.30673,0.53381
180,0.349,0.26952,0.48696
181,0.36531,0.28989,0.51517
182,0.35646,0.27568,0.5071
183,0.36526,0.28528,0.5141
184,0.37181,0.28684,0.51761
185,0.36727,0.28722,0.51475
186,0.36427,0.27307,0.5005
187,0.34706,0.26297,0.49344
188,0.39096,0.30186,0.53173
189,0.35452,0.27041,0.49512
190,0.36354,0.28721,0.512
191,0.37692,0.2881,0.51659
192,0.35164,0.26638,0.49577
193,0.34944,0.26725,0.49283
194,0.36803,0.28006,0.50846
195,0.36055,0.2685,0.49869
196,0.35252,0.25561,0.4842
197,0.33644,0.27132,0.49184
198,0.34641,0.25677,0.49026
199,0.33016,0.24892,0.47121
200,0.3313,0.24713,0.47482
201,0.34232,0.25448,0.48039
202,0.33654,0.26529,0.4868
203,0.33354,0.26158,0.48278
204,0.33426,0.24926,0.47515
205,0.31716,0.23535,0.45206
206,0.39461,0.29437,0.52709
207,0.36509,0.27497,0.50642
208,0.36514,0.26814,0.49856
209,0.32317,0.24277,0.47111
210,0.32352,0.23658,0.46191
211,0.36461,0.26834,0.50002
212,0.32533,0.24013,0.46794
213,0.335,0.25266,0.4796
214,0.32799,0.24207,0.46266
215,0.32687,0.26157,0.47595
216,0.35775,0.26985,0.49111
217,0.32548,0.24181,0.4728
218,0.31726,0.24582,0.46616
219,0.31101,0.22541,0.45257
220,0.32452,0.2295,0.45577
221,0.32994,0.24991,0.46925
222,0.30831,0.23337,0.46205
223,0.34303,0.24784,0.4724
224,0.33118,0.24794,0.4668
225,0.32565,0.23569,0.45227
226,0.35623,0.26119,0.49515
